,fac_id,supplier_id,market_cap,country,city_name,currency,number_of_employees,Annual_sales
0,694420,81114,"166    1.265555e+10
Name: market_capitalization ($), dtype: float64",Algeria,Laghouat,Dollars,260,6044.69
1,678955,81114,"166    2.036310e+10
Name: market_capitalization ($), dtype: float64",New Caledonia,Unknown,Dollars,343,7.51
2,719035,81114,"166    2.420775e+10
Name: market_capitalization ($), dtype: float64",Slovakia,Trenčiansky kraj,Dollars,720,4.25
3,240432,81114,"166    2.079319e+09
Name: market_capitalization ($), dtype: float64",Yemen,Laḩij,Dollars,584,9900.93
4,385384,81114,"166    8.591279e+10
Name: market_capitalization ($), dtype: float64",Western Sahara,Unknown,Dollars,568,458.37
5,661839,81114,"166    2.734895e+10
Name: market_capitalization ($), dtype: float64",Slovenia,Medvode,Dollars,694,5.35
6,263477,81114,"166    1.083358e+11
Name: market_capitalization ($), dtype: float64",Guadeloupe,Unknown,Dollars,251,11.41
7,144639,81114,"166    1.124493e+11
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,Unknown,Dollars,277,255.42
8,858404,81114,"166    1.057949e+09
Name: market_capitalization ($), dtype: float64",Palau,Koror,Dollars,751,9266.29
9,991077,81114,"166    4.626895e+10
Name: market_capitalization ($), dtype: float64",Denmark,Midtjylland,Dollars,542,9931.72
10,915035,68177,"132    2.967672e+10
Name: market_capitalization ($), dtype: float64",Guinea-Bissau,Leste,Dollars,746,41.61
11,905177,68177,"132    2.839565e+09
Name: market_capitalization ($), dtype: float64",Yemen,Ibb,Dollars,296,5.57
12,701418,68177,"132    9.832485e+08
Name: market_capitalization ($), dtype: float64",Åland Islands,Unknown,Dollars,586,19.86
13,952688,68177,"132    2.634435e+09
Name: market_capitalization ($), dtype: float64",Tonga,Niuas,Dollars,716,5.84
14,161033,68177,"132    3.052891e+08
Name: market_capitalization ($), dtype: float64",El Salvador,Cabañas,Dollars,679,149.39
15,480583,68177,"132    2.003191e+10
Name: market_capitalization ($), dtype: float64",Angola,Lunda-Norte,Dollars,549,85.53
16,909341,68177,"132    6.659167e+08
Name: market_capitalization ($), dtype: float64",Gabon,Ogooué-Lolo,Dollars,462,36.35
17,480533,68177,"132    1.723084e+10
Name: market_capitalization ($), dtype: float64",Slovenia,Loška dolina,Dollars,389,1248.56
18,699500,68177,"132    2.509796e+10
Name: market_capitalization ($), dtype: float64",Wallis and Futuna,Alo,Dollars,975,8765.69
19,404028,68177,"132    2.468181e+09
Name: market_capitalization ($), dtype: float64",Kenya,Meru,Dollars,735,4.68
20,957998,70869,"237    7.509332e+10
Name: market_capitalization ($), dtype: float64",American Samoa,Unknown,Dollars,228,688.85
21,907715,70869,"237    1.154536e+11
Name: market_capitalization ($), dtype: float64",Belarus,Mahilioŭskaja voblasć,Dollars,529,4386.16
22,790711,70869,"237    3.454170e+11
Name: market_capitalization ($), dtype: float64",Georgia,Mtskheta-Mtianeti,Dollars,268,3277.6
23,282126,70869,"237    5.220567e+10
Name: market_capitalization ($), dtype: float64",Aruba,Unknown,Dollars,366,82.73
24,399770,70869,"237    1.352524e+11
Name: market_capitalization ($), dtype: float64",Mexico,Guanajuato,Dollars,406,2336.34
25,898663,70869,"237    6.135573e+10
Name: market_capitalization ($), dtype: float64",Andorra,Andorra la Vella,Dollars,454,23.14
26,577085,70869,"237    2.978424e+10
Name: market_capitalization ($), dtype: float64",Spain,Zaragoza,Dollars,474,9.42
27,559237,70869,"237    1.040055e+10
Name: market_capitalization ($), dtype: float64",Canada,Alberta,Dollars,980,123.75
28,711270,70869,"237    1.704713e+10
Name: market_capitalization ($), dtype: float64",Canada,Newfoundland and Labrador,Dollars,223,8.24
29,869533,70869,"237    7.452748e+09
Name: market_capitalization ($), dtype: float64",Peru,Ancash,Dollars,782,156.49
30,739435,99101,"289    2.855209e+09
Name: market_capitalization ($), dtype: float64",Mongolia,Arhangay,Dollars,115,2636.67
31,726402,99101,"289    6.056477e+09
Name: market_capitalization ($), dtype: float64",Ghana,Eastern,Dollars,954,89.17
32,950184,99101,"289    1.190761e+10
Name: market_capitalization ($), dtype: float64",Honduras,Lempira,Dollars,417,9.58
33,698173,99101,"289    8.317802e+09
Name: market_capitalization ($), dtype: float64",Tunisia,Sidi Bouzid,Dollars,301,722.28
34,268235,99101,"289    4.307800e+10
Name: market_capitalization ($), dtype: float64",Indonesia,Riau,Dollars,957,408.91
35,310760,99101,"289    3.418696e+10
Name: market_capitalization ($), dtype: float64",Côte d'Ivoire,Savanes,Dollars,475,8124.43
36,159199,99101,"289    3.886666e+10
Name: market_capitalization ($), dtype: float64",Central African Republic,Haute-Sangha / Mambéré-Kadéï,Dollars,679,6.78
37,872449,99101,"289    4.301667e+10
Name: market_capitalization ($), dtype: float64",United States,Kentucky,Dollars,397,268.77
38,170447,99101,"289    5.640946e+09
Name: market_capitalization ($), dtype: float64",Slovakia,Bratislavský kraj,Dollars,461,4.75
39,854146,99101,"289    2.582887e+10
Name: market_capitalization ($), dtype: float64",Mali,Tombouctou,Dollars,580,1.73
40,223443,58047,"34    1.788204e+09
Name: market_capitalization ($), dtype: float64",Guernsey,Unknown,Dollars,651,4.1
41,264966,58047,"34    3.185051e+10
Name: market_capitalization ($), dtype: float64",Kenya,Nyandarua,Dollars,981,530.86
42,114492,58047,"34    1.076246e+10
Name: market_capitalization ($), dtype: float64",Burundi,Gitega,Dollars,752,8.47
43,635474,58047,"34    3.027619e+09
Name: market_capitalization ($), dtype: float64",Kuwait,Al Farwānīyah,Dollars,198,4.12
44,140421,58047,"34    9.607951e+09
Name: market_capitalization ($), dtype: float64","Palestine, State of",Jerusalem,Dollars,702,5.59
45,710562,58047,"34    1.332478e+09
Name: market_capitalization ($), dtype: float64",Viet Nam,Lào Cai,Ngultrum,210,3.13
46,280099,58047,"34    8.277047e+09
Name: market_capitalization ($), dtype: float64",Somalia,Banaadir,Dollars,715,1.81
47,935017,58047,"34    2.562283e+09
Name: market_capitalization ($), dtype: float64",Chile,Los Lagos,Dollars,745,289.61
48,641455,58047,"34    1.028714e+10
Name: market_capitalization ($), dtype: float64",French Southern Territories,Unknown,Dollars,953,431.15
49,851489,58047,"34    6.152690e+09
Name: market_capitalization ($), dtype: float64",New Caledonia,Unknown,Dollars,213,880.69
50,793349,55515,"115    8.777363e+10
Name: market_capitalization ($), dtype: float64",Tuvalu,Nanumaga,Dollars,726,55.28
51,535356,55515,"115    3.920425e+10
Name: market_capitalization ($), dtype: float64",Greece,Ágion Óros,Dollars,979,8.63
52,389557,55515,"115    2.120669e+10
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Yap,Dollars,122,1.63
53,653283,55515,"115    8.244529e+09
Name: market_capitalization ($), dtype: float64",Benin,Couffo,Dollars,146,8.76
54,414346,55515,"115    2.322244e+10
Name: market_capitalization ($), dtype: float64",Sri Lanka,Hambantota,Dollars,476,4.52
55,711280,55515,"115    1.387174e+10
Name: market_capitalization ($), dtype: float64","Korea, Republic of",Sejong,Dollars,155,4175.53
56,516596,55515,"115    1.362402e+10
Name: market_capitalization ($), dtype: float64",El Salvador,Cuscatlán,Dollars,555,9129.59
57,972424,55515,"115    4.173050e+09
Name: market_capitalization ($), dtype: float64",Senegal,Saint-Louis,Dollars,716,6583.8
58,121900,55515,"115    1.427234e+11
Name: market_capitalization ($), dtype: float64",Samoa,Va'a-o-Fonoti,Dollars,933,6.31
59,461027,55515,"115    1.753849e+10
Name: market_capitalization ($), dtype: float64",Benin,Borgou,Dollars,717,93.29
60,580721,52130,"247    1.029508e+11
Name: market_capitalization ($), dtype: float64",Bulgaria,Dobrich,Dollars,457,7.98
61,503560,52130,"247    7.301830e+10
Name: market_capitalization ($), dtype: float64",Netherlands,Overijssel,Dollars,367,4.27
62,150976,52130,"247    9.270999e+10
Name: market_capitalization ($), dtype: float64",Romania,Prahova,Dollars,424,5737.47
63,339786,52130,"247    1.271950e+11
Name: market_capitalization ($), dtype: float64",Somalia,Hiiraan,Dollars,812,13.81
64,852614,52130,"247    4.824898e+10
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,Unknown,Dollars,888,5.34
65,565184,52130,"247    4.917727e+10
Name: market_capitalization ($), dtype: float64",Malta,Mdina,Dollars,407,4.72
66,491183,52130,"247    2.194975e+09
Name: market_capitalization ($), dtype: float64","Micronesia, Federated States of",Chuuk,Dollars,489,6954.28
67,528309,52130,"247    8.129618e+10
Name: market_capitalization ($), dtype: float64",New Caledonia,Unknown,Dollars,561,24.54
68,865103,52130,"247    1.874094e+11
Name: market_capitalization ($), dtype: float64",Slovenia,Gorenja vas-Poljane,Dollars,267,49.14
69,733257,52130,"247    4.289684e+10
Name: market_capitalization ($), dtype: float64",Bahrain,Al ‘Āşimah,Dollars,412,5.77
70,712010,58199,"13    9.933996e+10
Name: market_capitalization ($), dtype: float64",Romania,Covasna,Dollars,413,67.34
71,345446,58199,"13    9.542311e+10
Name: market_capitalization ($), dtype: float64",Sweden,Uppsala län [SE-03],Dollars,758,515.5
72,149876,58199,"13    2.739035e+10
Name: market_capitalization ($), dtype: float64",Saint Vincent and the Grenadines,Saint Andrew,Dollars,102,5612.41
73,948249,58199,"13    7.253759e+10
Name: market_capitalization ($), dtype: float64",Sweden,Örebro län [SE-18],Dollars,799,455.43
74,932121,58199,"13    3.171481e+11
Name: market_capitalization ($), dtype: float64",Netherlands,Noord-Holland,Dollars,797,759.56
75,483163,58199,"13    1.353319e+10
Name: market_capitalization ($), dtype: float64",Guadeloupe,Unknown,Dollars,387,82.87
76,656448,58199,"13    4.279182e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, British",Unknown,Dollars,209,471.56
77,171612,58199,"13    1.355636e+11
Name: market_capitalization ($), dtype: float64",Germany,Schleswig-Holstein,Dollars,364,1623.54
78,780346,58199,"13    3.628970e+10
Name: market_capitalization ($), dtype: float64",Poland,Wielkopolskie,Dollars,819,397.28
79,932066,58199,"13    2.757876e+10
Name: market_capitalization ($), dtype: float64",Samoa,Palauli,Dollars,621,5.18
80,191437,41112,"144    1.522183e+11
Name: market_capitalization ($), dtype: float64",Oman,Janūb ash Sharqīyah,Dollars,684,228.45
81,607099,41112,"144    2.008014e+10
Name: market_capitalization ($), dtype: float64",Kazakhstan,Kostanajskaja oblast',Dollars,982,7.12
82,682036,41112,"144    1.603118e+11
Name: market_capitalization ($), dtype: float64",Cayman Islands,Unknown,Dollars,147,9866.97
83,859468,41112,"144    3.518417e+10
Name: market_capitalization ($), dtype: float64",Kiribati,Phoenix Islands,Dollars,281,7756.26
84,161052,41112,"144    3.405858e+10
Name: market_capitalization ($), dtype: float64",Namibia,Zambezi,Dollars,486,2.48
85,803289,41112,"144    8.616663e+10
Name: market_capitalization ($), dtype: float64",Turkey,Trabzon,Dollars,968,4915.77
86,501114,41112,"144    7.097785e+10
Name: market_capitalization ($), dtype: float64",Curaçao,Unknown,Dollars,182,907.58
87,358967,41112,"144    1.525320e+11
Name: market_capitalization ($), dtype: float64",Chile,Magallanes,Dollars,634,6.96
88,191064,41112,"144    1.626425e+11
Name: market_capitalization ($), dtype: float64",American Samoa,Unknown,Dollars,698,461.26
89,905519,41112,"144    8.678666e+10
Name: market_capitalization ($), dtype: float64",San Marino,Domagnano,Dollars,472,761.74
90,559895,58914,"252    3.444083e+10
Name: market_capitalization ($), dtype: float64",Cocos (Keeling) Islands,Unknown,Dollars,197,4464.17
91,603035,58914,"252    1.247385e+09
Name: market_capitalization ($), dtype: float64",Cocos (Keeling) Islands,Unknown,Dollars,199,77.92
92,174324,58914,"252    1.478748e+10
Name: market_capitalization ($), dtype: float64",Guam,Unknown,Dollars,747,4505.14
93,192478,58914,"252    1.247136e+09
Name: market_capitalization ($), dtype: float64",Niue,Unknown,Dollars,146,70.67
94,515480,58914,"252    1.746263e+10
Name: market_capitalization ($), dtype: float64",Guinea-Bissau,Sul,Dollars,521,4.37
95,287340,58914,"252    6.823904e+09
Name: market_capitalization ($), dtype: float64",Switzerland,Zug,Dollars,493,3.59
96,485053,58914,"252    2.958144e+09
Name: market_capitalization ($), dtype: float64",Heard Island and McDonald Islands,Unknown,Dollars,330,60.9
97,221751,58914,"252    5.546450e+10
Name: market_capitalization ($), dtype: float64",Uruguay,Paysandú,Dollars,302,3080.38
98,158876,58914,"252    2.449992e+10
Name: market_capitalization ($), dtype: float64",Ethiopia,Addis Ababa,Dollars,437,2099.71
99,401957,58914,"252    9.388894e+09
Name: market_capitalization ($), dtype: float64",Djibouti,Tadjourah,Dollars,747,60.65
100,751308,60591,"100    3.485946e+10
Name: market_capitalization ($), dtype: float64",Sri Lanka,North Western Province,Dollars,119,58.66
101,658294,60591,"100    1.850593e+10
Name: market_capitalization ($), dtype: float64",Saint Pierre and Miquelon,Unknown,Dollars,222,3405.96
102,490832,60591,"100    2.546616e+10
Name: market_capitalization ($), dtype: float64","Saint Helena, Ascension and Tristan da Cunha",Tristan da Cunha,Dollars,860,3.43
103,635108,60591,"100    2.996629e+09
Name: market_capitalization ($), dtype: float64",Malaysia,Kedah,Dollars,321,5085.88
104,697613,60591,"100    2.360476e+10
Name: market_capitalization ($), dtype: float64",United Kingdom,Torbay,Dollars,355,13.91
105,924340,60591,"100    1.115153e+11
Name: market_capitalization ($), dtype: float64",Latvia,Līgatnes novads,Dollars,711,25.38
106,171147,60591,"100    1.031463e+10
Name: market_capitalization ($), dtype: float64",Seychelles,Mont Fleuri,Dollars,879,1549.61
107,929334,60591,"100    1.073164e+10
Name: market_capitalization ($), dtype: float64","Virgin Islands, British",Unknown,Dollars,982,2.74
108,127891,60591,"100    5.201119e+10
Name: market_capitalization ($), dtype: float64",Qatar,Ar Rayyān,Dollars,317,2651.13
109,749497,60591,"100    5.062603e+10
Name: market_capitalization ($), dtype: float64",Saint Martin (French part),Unknown,Dollars,549,1771.45
110,120040,46676,"84    8.907643e+10
Name: market_capitalization ($), dtype: float64",Nigeria,Ebonyi,Dollars,255,93.11
111,691002,46676,"84    3.873540e+10
Name: market_capitalization ($), dtype: float64",Monaco,Moneghetti,Dollars,863,4.42
112,470322,46676,"84    9.888543e+10
Name: market_capitalization ($), dtype: float64",Comoros,Mohéli,Dollars,630,58.68
113,556559,46676,"84    4.788451e+07
Name: market_capitalization ($), dtype: float64",Western Sahara,Unknown,Dollars,959,8.21
114,442005,46676,"84    2.063344e+10
Name: market_capitalization ($), dtype: float64",Gabon,Estuaire,Dollars,180,5.34
115,843403,46676,"84    2.426073e+10
Name: market_capitalization ($), dtype: float64",Martinique,Unknown,Dollars,144,68.35
116,212104,46676,"84    9.515899e+09
Name: market_capitalization ($), dtype: float64",Lebanon,Ash Shimāl,Dollars,448,7.56
117,913421,46676,"84    4.771429e+10
Name: market_capitalization ($), dtype: float64",Saint Martin (French part),Unknown,Dollars,567,4.29
118,964576,46676,"84    3.342466e+09
Name: market_capitalization ($), dtype: float64",Mauritius,Savanne,Dollars,835,3.87
119,191876,46676,"84    3.188078e+08
Name: market_capitalization ($), dtype: float64",Chad,Tibastī,Dollars,807,3.71
120,279334,40868,"1    1.108678e+10
Name: market_capitalization ($), dtype: float64",Mauritania,Hodh ech Chargui,Dollars,305,14.81
121,706796,40868,"1    3.060539e+09
Name: market_capitalization ($), dtype: float64",Sri Lanka,Colombo,Dollars,357,599.96
122,256215,40868,"1    9.681281e+10
Name: market_capitalization ($), dtype: float64",Anguilla,Unknown,Dollars,557,526.54
123,350227,40868,"1    1.073077e+11
Name: market_capitalization ($), dtype: float64",Gambia,Central River,Dollars,669,8.52
124,257636,40868,"1    6.462096e+10
Name: market_capitalization ($), dtype: float64",Peru,Madre de Dios,Dollars,270,2675.51
125,365188,40868,"1    2.663318e+11
Name: market_capitalization ($), dtype: float64",Puerto Rico,Unknown,Dollars,459,87.59
126,446234,40868,"1    1.617624e+09
Name: market_capitalization ($), dtype: float64",Equatorial Guinea,Bioko Sud,Dollars,582,52.13
127,342233,40868,"1    3.057451e+10
Name: market_capitalization ($), dtype: float64",Gabon,Ogooué-Ivindo,Dollars,494,9807.3
128,801355,40868,"1    1.711542e+11
Name: market_capitalization ($), dtype: float64",Jersey,Unknown,Dollars,432,5067.68
129,242638,40868,"1    1.642505e+11
Name: market_capitalization ($), dtype: float64",Denmark,Hovedstaden,Dollars,828,457.7
130,284974,85351,"20    9.274790e+10
Name: market_capitalization ($), dtype: float64",Bahrain,Al ‘Āşimah,Dollars,704,508.52
131,927776,85351,"20    1.958649e+11
Name: market_capitalization ($), dtype: float64",New Caledonia,Unknown,Dollars,143,593.58
132,416451,85351,"20    8.698485e+10
Name: market_capitalization ($), dtype: float64",Burkina Faso,Sahel,Dollars,963,686.19
133,147869,85351,"20    1.704100e+10
Name: market_capitalization ($), dtype: float64","Congo, The Democratic Republic of the",Lualaba,Dollars,522,3.82
134,151080,85351,"20    7.768675e+10
Name: market_capitalization ($), dtype: float64",Norway,Romssa ja Finnmárkku,Dollars,785,6410.56
135,619508,85351,"20    1.620285e+10
Name: market_capitalization ($), dtype: float64",Cambodia,Svaay Rieng,Dollars,789,72.4
136,718609,85351,"20    9.122563e+09
Name: market_capitalization ($), dtype: float64",Japan,Ehime,Dollars,484,644.88
137,662012,85351,"20    8.553940e+10
Name: market_capitalization ($), dtype: float64",Sweden,Kalmar län [SE-08],Dollars,235,256.76
138,402760,85351,"20    5.402675e+10
Name: market_capitalization ($), dtype: float64",Uzbekistan,Qoraqalpog‘iston Respublikasi,Dollars,847,5.96
139,405348,85351,"20    1.268002e+11
Name: market_capitalization ($), dtype: float64",Norfolk Island,Unknown,Dollars,349,2833.22
140,845905,27988,"265    7.185273e+07
Name: market_capitalization ($), dtype: float64",Sint Maarten (Dutch part),Unknown,Dollars,232,8.94
141,962401,27988,"265    3.846911e+07
Name: market_capitalization ($), dtype: float64",Saint Vincent and the Grenadines,Grenadines,Dollars,584,4677.52
142,800956,27988,"265    1.669256e+08
Name: market_capitalization ($), dtype: float64",Norfolk Island,Unknown,Dollars,888,7.39
143,805216,27988,"265    2.107203e+08
Name: market_capitalization ($), dtype: float64",Portugal,Leiria,Dollars,311,67.28
144,676920,27988,"265    1.147388e+08
Name: market_capitalization ($), dtype: float64",Barbados,Saint George,Dollars,420,41.2
145,273684,27988,"265    5.562882e+07
Name: market_capitalization ($), dtype: float64",Croatia,Koprivničko-križevačka županija,Dollars,854,128.88
146,883448,27988,"265    1.068229e+08
Name: market_capitalization ($), dtype: float64",Sao Tome and Principe,Lobata,Dollars,639,99.44
147,137313,27988,"265    8.933962e+07
Name: market_capitalization ($), dtype: float64",Slovakia,Bratislavský kraj,Dollars,511,87.74
148,555638,27988,"265    1.989717e+07
Name: market_capitalization ($), dtype: float64","Bolivia, Plurinational State of",Chuquisaca,Dollars,427,3.74
149,237624,27988,"265    8.513100e+07
Name: market_capitalization ($), dtype: float64",Guinea,Dubréka,Dollars,905,4.11
150,251231,68562,"167    1.057826e+11
Name: market_capitalization ($), dtype: float64",mozambique,Maputo,Dollars,154,802.39
151,292895,68562,"167    5.472600e+10
Name: market_capitalization ($), dtype: float64",Slovakia,Prešovský kraj,Dollars,542,9178.34
152,897878,68562,"167    1.668238e+10
Name: market_capitalization ($), dtype: float64",Brazil,Sergipe,Dollars,585,580.34
153,393067,68562,"167    6.820331e+08
Name: market_capitalization ($), dtype: float64",Serbia,Severnobački okrug,Dollars,467,959.38
