,IntServ_id,IntTrans_id,placed_when,actual_date,expected_date,quota,status
0,5822,5738,1971-03-20,1971-04-03,1971-04-19,7.2,Processed
1,9032,1952,1985-07-11,1985-08-01,1985-07-27,2.65,Pending
2,6669,4782,1987-07-14,1987-08-12,1987-08-07,3.64,Pending
3,1165,8659,2000-08-31,2000-09-11,2000-09-24,1248.57,Processed
4,7448,4782,1988-01-11,1988-02-05,1988-02-09,17.11,Processed
5,6913,5700,2010-03-12,2010-04-01,2010-04-04,6.58,Processed
6,2070,7927,2002-01-30,2002-02-13,2002-02-18,76.51,Processed
7,1542,1609,1970-08-13,1970-08-27,1970-08-30,380.45,Processed
8,3478,2741,1986-08-26,1986-09-18,1986-09-10,38.84,Pending
9,6012,9371,2002-05-23,2002-06-22,2002-06-04,30.65,Pending
10,3442,2558,2003-10-18,2003-11-08,2003-11-07,641.9,Pending
11,8137,8092,1972-07-10,1972-07-21,1972-08-08,70.31,Processed
12,4232,1132,1979-04-10,1979-05-10,1979-05-10,2.7,Processed
13,8597,5792,1978-09-06,1978-10-03,1978-10-01,1764.32,Pending
14,7169,8312,1996-12-12,1997-01-04,1997-01-06,4245.86,Processed
15,9244,9083,1975-07-28,1975-08-24,1975-08-07,5.45,Pending
16,4340,5792,2007-11-26,2007-12-25,2007-12-18,170.87,Pending
17,9022,7344,1985-09-03,1985-10-03,1985-09-27,70.4,Pending
18,1773,6646,2006-10-09,2006-10-19,2006-10-28,4235.53,Processed
19,4304,4735,1988-02-22,1988-03-03,1988-03-10,276.26,Processed
20,3732,7076,2002-11-25,2002-12-08,2002-12-14,465.36,Processed
21,4952,7910,2016-03-01,2016-03-22,2016-03-29,5.5,Processed
22,9238,7910,1991-04-01,1991-04-13,1991-04-23,6.28,Processed
23,9421,4735,2014-10-16,2014-11-15,2014-11-14,1.96,Pending
24,8045,6220,1999-07-28,1999-08-20,1999-08-10,9.39,Pending
25,5012,7083,2003-01-25,2003-02-18,2003-02-24,225.15,Processed
26,9361,8355,1988-09-08,1988-09-21,1988-09-23,840.4,Processed
27,4361,6646,1985-04-03,1985-04-20,1985-04-17,47.27,Pending
28,3409,5939,1986-05-10,1986-05-24,1986-05-25,994.8,Processed
29,8952,9186,1983-11-14,1983-11-29,1983-12-13,8.18,Processed
30,6064,3277,2010-04-20,2010-05-04,2010-05-04,922.66,Processed
31,5693,9055,2016-04-03,2016-04-26,2016-04-27,8425.21,Processed
32,5837,9055,1988-06-07,1988-07-07,1988-06-26,3.65,Pending
33,9535,6661,2009-07-04,2009-07-22,2009-07-16,68.39,Pending
34,7353,8824,1988-07-06,1988-07-16,1988-07-26,360.39,Processed
35,1984,6924,2010-08-30,2010-09-19,2010-09-29,7.42,Processed
36,8670,2715,1994-05-18,1994-05-28,1994-06-10,6.44,Processed
37,4897,2751,2009-04-16,2009-05-14,2009-04-26,88.2,Pending
38,4504,8024,2011-05-22,2011-06-07,2011-06-13,1726.45,Processed
39,2673,7639,2010-11-22,2010-12-22,2010-12-18,479.65,Pending
40,7406,9683,1992-01-22,1992-02-17,1992-02-02,8.84,Pending
41,9586,2741,1985-11-20,1985-11-30,1985-12-20,4361.4,Processed
42,7190,8010,1999-03-10,1999-04-08,1999-04-06,4594.1,Pending
43,7115,4327,2019-04-01,2019-04-11,2019-04-28,98.55,Processed
44,6268,2558,1984-01-02,1984-01-23,1984-01-18,9.45,Pending
45,9281,4327,2001-01-12,2001-02-08,2001-02-01,5447.33,Pending
46,2244,6220,1993-03-05,1993-03-31,1993-03-18,1.32,Pending
47,3580,4645,1992-10-01,1992-10-16,1992-10-24,960.59,Processed
48,6650,6334,1986-10-21,1986-11-11,1986-11-06,8.97,Pending
49,1732,9186,1988-06-03,1988-06-29,1988-06-15,145.49,Pending
50,1158,8731,2007-04-01,2007-04-20,2007-04-11,5814.78,Pending
