,IntTran_id,CompFrom,Compto
0,7927,78265,87916
1,8659,56104,30864
2,2751,34967,57109
3,3389,52082,87695
4,3917,92698,16265
5,9290,23640,87916
6,4789,14125,75444
7,6661,40597,92698
8,2558,27057,11186
9,6312,51293,24646
10,1609,52082,48238
11,9913,85240,97142
12,8970,51293,11790
13,3277,18952,19878
14,4735,46942,28873
15,3345,81423,55787
16,2274,15367,35841
17,3919,42091,11186
18,3249,43284,52082
19,5273,30864,11283
20,8731,71056,68814
21,3008,68814,27057
22,6334,40597,48238
23,9801,11283,71819
24,9692,70050,19072
25,6524,18952,96293
26,3498,86815,36243
27,5170,28042,29277
28,8718,76443,36985
29,8092,46070,34967
30,4782,54921,77743
31,5290,13920,68615
32,6646,78265,70443
33,5738,85240,23640
34,8355,36417,11790
35,5855,24451,87695
36,1125,54148,35841
37,9347,46070,94512
38,9371,40597,11186
39,6250,61565,74318
40,8539,58976,72315
41,9683,21232,78265
42,1015,35266,10161
43,7639,30864,74318
44,7083,54148,16265
45,8312,61570,71574
46,7344,11283,21166
47,1595,48238,23640
48,8024,96293,13920
49,1289,90942,35841
50,9378,68357,55787
51,9001,76443,71819
52,4327,87695,35841
53,2741,71597,72315
54,6472,35841,58976
55,9221,75444,19072
56,6220,30692,68357
57,3581,21166,57109
58,6665,13283,35841
59,9186,11790,10161
60,1733,85240,57551
61,5700,35841,27057
62,6924,75444,48580
63,9083,48580,51293
64,1374,71916,18952
65,6409,13920,34967
66,7564,18997,68615
67,8228,13951,70443
68,8344,36417,36985
69,7768,97142,76443
70,8010,18997,19878
71,8824,81423,57551
72,2545,26533,35266
73,2715,43284,68814
74,7473,71597,81423
75,6557,19878,90236
76,2052,21232,43284
77,1952,74432,10161
78,7910,57551,29277
79,8356,27057,54921
80,1832,18952,79389
81,5651,10731,13362
82,4502,42091,68357
83,5161,19878,51293
84,7076,35841,70050
85,3081,51293,43160
86,4739,52160,13362
87,4645,48238,30864
88,1263,90942,61565
89,5792,86815,23640
90,1132,65468,71574
91,3339,34967,65468
92,2555,42091,13283
93,8826,94512,35841
94,1793,78265,43160
95,9055,58976,46204
96,8775,40597,71916
97,8685,28042,70050
98,5939,19878,55787
99,9269,19072,57109
