,prod_id,product_type,product_name,warehouses,price,profit_margin (%)
0,911,M,WWW,"[5498, 6164, 5623, 7418, 8962, 7721, 4208, 8714, 1285]",3088.68,24
1,316,F,MMM,"[3865, 5351]",107.39,47
2,549,P,LLL,[1969],47.14,7
3,801,V,SSS,"[3613, 4412, 2730, 1482, 2430, 7465, 8954, 1187, 8332, 4421]",13.62,6
4,791,R,AAA,"[3514, 9292, 9388, 6379, 1149, 1526, 6928, 1888]",6.35,7
5,862,Q,AAA,"[8327, 5961, 2538, 4167, 7451, 8950, 1417, 1149, 6507, 9023]",394.56,22
6,255,Y,MMM,[7306],500.55,50
7,291,W,FFF,"[2587, 5819, 7033, 4420, 3259, 7043]",48.63,35
8,804,H,HHH,"[9981, 1172, 7550, 2891, 7634, 4744, 3826]",7.82,42
9,976,R,YYY,"[7622, 5163, 2275, 1538]",425.27,9
10,318,Y,WWW,"[2855, 2689, 3238, 8035, 3112, 6229, 6869, 3638, 5886]",278.88,11
11,663,X,KKK,[6859],877.77,37
12,304,C,HHH,[7094],446.51,22
13,523,L,WWW,"[7347, 1992, 3387, 3990, 4232]",2947.87,9
14,933,D,CCC,"[7808, 7840, 3000, 9772]",566.24,40
15,930,Z,AAA,"[3661, 2329, 6173, 4408, 9403, 6833]",7.42,47
16,474,H,JJJ,"[2859, 8183, 3044, 7763, 3002, 5504, 8858]",676.95,11
17,695,B,WWW,"[8344, 8231, 5977]",9.16,28
18,856,Z,AAA,"[7898, 4420, 5842, 4014, 2969, 6434, 6694, 7212]",83.85,18
19,542,Y,YYY,"[9030, 4693]",1733.76,47
20,181,K,NNN,"[3998, 2970, 5170, 7118, 2882, 5071]",7965.88,25
21,452,I,MMM,"[1245, 4427, 3871, 2886, 7975, 4142, 3225]",9.86,15
22,952,H,PPP,"[1034, 5754, 1945, 2077, 1442, 9753, 8344]",2613.16,23
23,162,N,HHH,"[6915, 7992]",5.97,32
24,134,R,TTT,"[4522, 8344, 7038, 7033]",6.67,21
25,771,P,III,"[4677, 7895, 4317]",7.94,40
26,827,I,JJJ,"[4027, 3267, 8399]",136.7,5
27,992,X,RRR,[5820],7524.44,26
28,647,J,JJJ,"[7117, 7451, 2301, 9695, 2936, 7408, 4607, 3532]",86.44,11
29,671,Z,FFF,[2275],3.39,7
30,988,N,JJJ,"[3841, 2448, 6265, 9426, 8858, 6379, 9359]",1514.69,25
31,699,G,OOO,"[5330, 3573, 4371, 2183, 4496, 3074, 6895, 9224, 5736, 7033]",9.24,35
32,656,U,DDD,"[7483, 4695, 2666, 8488, 9888]",71.66,48
33,745,B,WWW,"[3031, 3553, 2970, 9247, 4094, 1085]",4542.84,45
34,183,M,WWW,"[8349, 1704, 7425, 4967, 9926, 3893, 3692, 7664]",437.31,31
35,124,Q,RRR,"[4458, 3600, 5181, 4939, 1442, 7103, 1575, 5812]",989.73,46
36,616,A,AAA,"[5089, 7953, 1837, 2066, 1754, 1623, 6379, 3673, 4237]",8603.43,49
37,120,C,NNN,"[2894, 2632, 7926, 1882, 4421, 9272, 5736, 8892, 3456, 4045]",902.34,19
38,890,W,EEE,"[9387, 1258, 3882, 9272, 6858]",21.58,40
39,709,W,JJJ,"[1915, 3972, 4397, 2882, 9610, 3401, 6960, 3856]",50.48,41
40,833,A,OOO,"[1716, 6507, 2244, 9970, 2730, 4650, 6362, 2294, 5177, 8954]",717.15,27
41,684,K,WWW,"[6482, 4197, 2797, 1169, 2448, 6165, 3046]",2.73,34
42,525,O,TTT,"[2930, 4099, 2125, 9043, 9304]",316.69,34
43,928,G,HHH,[9888],1597.42,22
44,864,Y,AAA,"[9426, 7945]",4184.31,31
45,283,D,JJJ,"[6229, 7286, 2199, 8450, 1707, 2714, 8820, 3921, 9190, 3954]",36.33,13
46,586,J,SSS,"[4785, 6853, 4374, 3267, 3577, 6219]",5.92,14
47,900,G,YYY,[3688],82.61,6
48,921,H,VVV,"[3532, 6724, 7525, 7611, 9241, 3882, 2231, 5094]",5946.14,25
