,ExtShip_id,factoryIds/retailerIds,idsTo,TransportationType
0,1456,99762,15724,Sea
1,5089,97142,91846,Air
2,7708,26533,39892,Sea
3,7960,48580,81782,Air
4,5028,68240,27430,Air
5,4413,23640,85900,Land
6,9033,55787,69145,Air
7,3246,13920,15307,Air
8,8786,20226,48068,Land
9,1422,55787,83792,Land
10,8588,13951,22043,Land
11,7366,21232,81344,Air
12,2490,28873,33736,Air
13,6220,99762,79381,Sea
14,6083,21232,78934,Land
15,1988,52647,33736,Land
16,5641,35266,33597,Land
17,4456,86815,78934,Land
18,3570,52082,18065,Sea
19,8140,21232,56182,Air
20,1431,82144,42959,Sea
21,9590,24451,11346,Land
22,5269,29277,20571,Air
23,4227,57551,41538,Sea
24,5333,52082,24255,Air
25,8280,16265,24998,Land
26,2379,30692,58600,Air
27,8924,52160,91846,Air
28,6062,13920,91846,Air
29,5611,36243,76264,Land
30,2983,18997,65924,Land
31,1116,46070,88373,Land
32,5717,71916,14574,Land
33,9786,68240,84885,Land
34,1903,89467,78934,Air
35,8183,77743,80020,Sea
36,2121,18997,14259,Air
37,2177,89467,42770,Sea
38,1876,97142,78650,Air
39,9477,75444,10613,Air
40,6449,10161,22043,Land
41,8778,71916,84885,Land
42,4781,76443,59444,Land
43,2301,76443,91447,Sea
44,3670,21232,18451,Air
45,2269,23640,21156,Sea
46,7218,97142,29456,Sea
47,3429,46204,70649,Air
48,4273,68814,18213,Air
