,IntShip_id,listSuppIds,factoryIds,TransportationType
0,7281,90942,52160,Land
1,3477,87916,30692,Land
2,8796,90236,26533,Sea
3,2933,76443,51293,Air
4,3000,14125,68357,Land
5,9700,86580,13283,Air
6,3996,57109,13920,Sea
7,4895,91465,43691,Sea
8,9411,55441,71819,Sea
9,5161,43284,29277,Sea
10,7182,46942,13951,Sea
11,4885,75444,76443,Sea
12,4334,56104,40898,Sea
13,8965,36243,43284,Land
14,1983,71597,71574,Sea
15,9492,52647,52082,Air
16,4227,30864,57109,Air
17,2748,89467,92698,Sea
18,9470,20226,51293,Sea
19,1610,36243,13920,Sea
20,5671,42179,90942,Land
21,2035,70443,74318,Land
22,6798,51293,10731,Sea
23,6881,65468,72315,Air
24,1571,55787,24646,Air
25,6627,76443,55441,Sea
26,1548,75444,70443,Air
27,6224,35841,86815,Sea
28,8990,19072,90236,Air
29,4496,72315,77743,Air
30,1945,54148,61565,Land
31,8258,10731,14125,Air
32,4906,68814,97142,Air
33,8598,86815,13283,Land
34,2906,21166,70050,Land
35,2914,68814,10731,Air
36,7072,71574,43691,Air
37,8070,16265,46942,Sea
38,5555,34967,27057,Air
39,2732,36985,48238,Land
40,7864,40898,23640,Air
41,4462,71056,99762,Air
42,2199,82144,30692,Land
43,3541,54148,10731,Sea
44,2663,87916,18952,Sea
45,7027,29277,36243,Air
46,5797,11283,24646,Air
47,3632,29277,97142,Land
48,3916,46204,35266,Land
49,9995,99762,21166,Sea
50,9996,57551,21166,Land
51,9997,96293,21166,Sea
52,9998,30692,51293,Land
53,9999,42179,51293,Land
54,10000,48580,51293,Land
55,10001,68240,51293,Land
56,10002,56104,51293,Land
57,10003,36417,51293,Land
58,10004,97142,51293,Land
59,10005,13283,51293,Land
60,10006,51293,48580,Land
61,10007,65468,48580,Air
62,10008,46942,74432,Air
63,10009,86815,74432,Air
64,10010,40898,74432,Sea
65,10011,68357,70468,Land
66,10012,28042,70468,Land
67,10013,18997,70468,Land
68,10014,58976,70468,Sea
69,10015,68615,70468,Sea
70,10016,13920,70468,Sea
71,10017,13951,70468,Air
72,10018,46894,70468,Air
73,10019,10161,70468,Land
74,10020,36985,87695,Air
75,10021,61570,87695,Sea
76,10022,99762,87695,Air
77,10023,65468,87695,Land
78,10024,14125,87695,Land
79,10025,87916,87695,Air
80,10026,58976,87695,Land
81,10027,57109,87695,Sea
82,10028,55441,87695,Land
83,10029,71597,87695,Land
84,10030,78265,24646,Sea
85,10031,87695,24646,Land
86,10032,26533,24646,Sea
87,10033,42179,24646,Air
88,10034,77743,24646,Sea
89,10035,61565,24646,Sea
90,10036,74318,24646,Sea
91,10037,94512,24646,Air
92,10038,61570,24646,Land
93,10039,42179,82144,Sea
94,10040,87695,82144,Air
95,10041,35841,11283,Sea
96,10042,55787,11283,Air
97,10043,30692,11283,Land
98,10044,52647,11283,Land
99,10045,46894,11283,Sea
100,10046,43160,11283,Sea
101,10047,19072,11283,Sea
102,10048,40898,11283,Sea
103,10049,71916,11283,Air
104,10050,42179,11283,Sea
105,10051,36985,72315,Air
106,10052,36243,72315,Sea
107,10053,71574,72315,Land
108,10054,42091,72315,Sea
109,10055,90942,72315,Sea
110,10056,51293,71916,Air
111,10057,43284,71916,Air
112,10058,71597,71916,Land
113,10059,97142,99762,Land
114,10060,19878,99762,Sea
115,10061,18997,99762,Land
116,10062,91465,99762,Air
117,10063,43691,99762,Air
118,10064,13951,99762,Sea
119,10065,46942,99762,Sea
120,10066,11283,70443,Sea
121,10067,81423,70443,Land
122,10068,46894,70443,Sea
123,10069,36985,76443,Sea
124,10070,70468,76443,Sea
125,10071,28873,76443,Land
126,10072,24451,76443,Land
127,10073,72315,76443,Land
128,10074,71819,76443,Air
129,10075,46942,76443,Land
130,10076,92698,76443,Air
131,10077,55441,36243,Air
132,10078,10731,36243,Land
133,10079,96293,36243,Land
134,10080,11283,36243,Air
135,10081,10161,36243,Sea
136,10082,46894,36243,Land
137,10083,36243,26533,Air
138,10084,55441,26533,Air
139,10085,13920,26533,Land
140,10086,94512,26533,Sea
141,10087,74318,26533,Air
142,10088,56104,26533,Sea
143,10089,10161,36985,Air
144,10090,14125,36985,Air
145,10091,56104,10161,Sea
146,10092,57109,10161,Air
147,10093,81423,10161,Sea
148,10094,72315,10161,Land
149,10095,21166,10161,Sea
150,10096,40898,10161,Land
151,10097,13362,24646,Sea
152,10098,57109,24646,Land
153,10099,42091,24646,Land
154,10100,48580,24646,Land
155,10101,28042,24451,Land
156,10102,87916,24451,Air
157,10103,55441,24451,Air
158,10104,82144,24451,Land
159,10105,75444,24451,Sea
160,10106,43691,24451,Air
161,10107,20226,24451,Air
162,10108,46894,24451,Land
163,10109,68814,30692,Land
164,10110,70468,30692,Air
165,10111,71916,30692,Air
166,10112,36243,30692,Land
167,10113,20226,54148,Sea
168,10114,13362,54148,Sea
169,10115,43284,54148,Air
170,10116,28042,13951,Land
171,10117,75444,71574,Land
172,10118,40898,71574,Land
173,10119,15367,71574,Air
174,10120,51293,71574,Sea
175,10121,21232,71574,Air
176,10122,43691,71574,Sea
177,10123,18952,71574,Air
178,10124,71819,40597,Sea
179,10125,74432,40597,Air
180,10126,99762,40597,Air
181,10127,18997,40597,Sea
182,10128,24451,40597,Sea
183,10129,13283,40597,Land
184,10130,78265,81423,Sea
185,10131,24646,18952,Land
186,10132,68240,18952,Land
187,10133,35841,18952,Sea
188,10134,56104,18952,Sea
189,10135,10161,18952,Air
190,10136,74432,18952,Sea
191,10137,96293,18952,Air
192,10138,55441,65468,Sea
193,10139,46942,65468,Air
194,10140,40597,65468,Land
195,10141,28873,65468,Air
196,10142,74318,65468,Sea
197,10143,42179,65468,Air
198,10144,61570,65468,Land
199,10145,11790,65468,Sea
200,10146,46070,54148,Sea
201,10147,61565,54148,Sea
202,10148,76443,54148,Land
203,10149,87916,54148,Land
204,10150,40898,54148,Air
205,10151,13920,54148,Sea
206,10152,87695,54148,Land
207,10153,46204,54148,Air
208,10154,34967,54148,Air
209,10155,78265,14125,Land
210,10156,19878,14125,Sea
211,10157,57109,14125,Sea
212,10158,77743,14125,Sea
213,10159,87916,14125,Air
214,10160,55441,43284,Land
215,10161,71597,43284,Air
216,10162,46204,43284,Land
217,10163,21166,43284,Air
218,10164,71916,43284,Air
219,10165,24451,43284,Land
220,10166,99762,43284,Sea
221,10167,96293,26533,Air
222,10168,71056,26533,Sea
223,10169,35266,26533,Sea
224,10170,72315,26533,Sea
225,10171,68615,61565,Air
226,10172,94512,61565,Sea
227,10173,18952,13951,Land
228,10174,81423,13951,Sea
229,10175,28873,13951,Land
230,10176,52647,13951,Land
231,10177,28873,71819,Sea
232,10178,82144,71819,Land
233,10179,19878,94512,Air
234,10180,21232,94512,Sea
235,10181,97142,94512,Sea
236,10182,55441,94512,Air
237,10183,11283,94512,Land
238,10184,89467,94512,Land
239,10185,43691,94512,Sea
240,10186,70468,94512,Land
241,10187,51293,65468,Sea
242,10188,97142,65468,Sea
243,10189,70468,65468,Land
244,10190,54921,65468,Air
245,10191,10731,65468,Land
246,10192,52082,65468,Air
247,10193,43284,90942,Sea
248,10194,13920,90942,Air
249,10195,24451,90942,Air
250,10196,74432,90942,Land
251,10197,23640,90942,Land
252,10198,99762,36417,Sea
253,10199,61570,36417,Air
254,10200,46942,36417,Land
255,10201,99762,68814,Land
256,10202,36417,68814,Land
257,10203,61570,68814,Land
258,10204,26533,68814,Land
259,10205,54148,68814,Land
260,10206,20226,68814,Land
261,10207,71574,68814,Sea
262,10208,71056,68814,Land
263,10209,11790,68814,Land
264,10210,13362,68240,Sea
265,10211,10731,24646,Land
266,10212,36417,24646,Land
267,10213,55441,24646,Air
268,10214,56104,24646,Land
269,10215,79389,90942,Land
270,10216,57109,90942,Sea
271,10217,71597,90942,Air
272,10218,71916,90942,Land
273,10219,52160,90942,Sea
274,10220,19072,87916,Land
275,10221,43160,87916,Air
276,10222,71574,87916,Land
277,10223,24451,87916,Land
278,10224,10161,87916,Sea
279,10225,21166,87916,Sea
280,10226,92698,87916,Land
281,10227,65468,87916,Land
282,10228,52160,87916,Land
283,10229,54921,61565,Land
284,10230,48238,61565,Air
285,10231,90942,61565,Sea
286,10232,97142,61565,Air
287,10233,36417,61565,Sea
288,10234,86580,61565,Air
289,10235,34967,61565,Land
290,10236,74432,61565,Air
291,10237,19072,61565,Sea
292,10238,30864,61565,Air
293,10239,43284,71574,Air
294,10240,87695,71574,Land
295,10241,77743,71574,Air
296,10242,68357,71574,Land
297,10243,71819,71574,Sea
298,10244,57109,46894,Air
299,10245,79389,68814,Air
300,10246,78265,68814,Sea
301,10247,51293,16265,Land
302,10248,87916,16265,Land
303,10249,65468,16265,Sea
304,10250,11283,51293,Sea
305,10251,23640,51293,Sea
306,10252,96293,51293,Sea
307,10253,86815,51293,Land
308,10254,86580,51293,Land
309,10255,58976,51293,Sea
310,10256,16265,51293,Land
311,10257,43284,51293,Sea
312,10258,90942,51293,Sea
313,10259,97142,11790,Air
314,10260,74318,11790,Land
315,10261,70443,11790,Land
316,10262,51293,11790,Land
317,10263,82144,11790,Land
318,10264,42179,11790,Sea
319,10265,55787,13283,Air
320,10266,94512,13283,Sea
321,10267,46070,13283,Sea
322,10268,26533,13283,Land
323,10269,81423,13283,Sea
324,10270,43691,13283,Sea
325,10271,55787,76443,Sea
326,10272,13951,76443,Sea
327,10273,46894,76443,Land
328,10274,96293,76443,Air
329,10275,70443,40597,Air
330,10276,42179,40597,Sea
331,10277,51293,40597,Sea
332,10278,52082,48238,Land
333,10279,28042,11186,Air
334,10280,21232,11186,Air
335,10281,52082,11186,Sea
336,10282,51293,11186,Air
337,10283,43160,90236,Land
338,10284,11283,90236,Air
339,10285,43284,90236,Air
340,10286,71916,90236,Sea
341,10287,74432,90236,Air
342,10288,55787,90236,Air
343,10289,30864,70468,Sea
344,10290,78265,70468,Sea
345,10291,11186,46204,Land
346,10292,74432,46204,Sea
347,10293,36985,46204,Sea
