,warehouse_id,country,city_name,capacity (NA),product_types,Operations Expenses,Rental price
0,1012,Sierra Leone,Eastern,870268,"['B', 'N', 'D', 'R']",0.51,2.87
1,1017,Réunion,Unknown,453753,"['G', 'W', 'O', 'A']",0.67,2.11
2,1028,Malawi,Chitipa,687914,"['Z', 'M', 'F', 'E', 'O', 'X', 'S']",0.59,2.26
3,1034,Lao People's Democratic Republic,Viangchan,594912,"['H', 'D', 'R', 'G', 'O', 'A', 'W']",0.93,2.7
4,1045,Cocos (Keeling) Islands,Unknown,336363,"['S', 'Q', 'C', 'V']",0.67,1.93
5,1064,Guinea,Dabola,911569,"['V', 'U', 'W', 'P', 'X', 'I']",0.87,2.06
6,1065,Malta,Santa Venera,568726,"['R', 'N']",0.93,2.79
7,1080,Sweden,Dalarnas län [SE-20],520255,['J'],0.64,2.51
8,1085,Slovenia,Osilnica,285053,['K'],0.71,1.82
9,1111,Dominican Republic,Cibao Nordeste,624345,"['W', 'J', 'X', 'U']",0.51,2.82
10,1123,Cuba,Holguín,500970,"['O', 'E', 'P', 'M', 'H', 'G']",0.72,2.01
11,1125,Oman,Al Buraymī,297933,['B'],0.7,2.38
12,1127,San Marino,Faetano,909405,"['X', 'Z']",0.99,2.7
13,1141,Papua New Guinea,Chimbu,180650,"['B', 'Y', 'C', 'I']",0.62,2.17
14,1149,Benin,Atlantique,550011,"['O', 'L', 'P', 'E', 'Q', 'R']",0.72,2.04
15,1152,Saudi Arabia,Makkah al Mukarramah,126954,"['O', 'M', 'D', 'J', 'P', 'H', 'L']",0.59,2.37
16,1164,Denmark,Midtjylland,721644,['M'],0.8,2.4
17,1169,Gabon,Haut-Ogooué,526216,"['F', 'X', 'A', 'G']",0.65,2.65
18,1171,Fiji,Eastern,314860,"['P', 'L', 'R', 'E', 'O', 'F', 'Z']",0.9,1.77
19,1172,Namibia,Kunene,266111,['Z'],0.74,1.82
20,1174,Jordan,Al Mafraq,248306,"['P', 'M']",0.89,1.98
21,1187,Curaçao,Unknown,127246,"['S', 'N', 'O', 'A', 'J', 'V']",0.55,2.3
22,1205,Saudi Arabia,Ar Riyāḑ,531056,"['N', 'L', 'X', 'M', 'Z', 'J']",0.85,2.82
23,1226,Comoros,Andjouân,368856,"['F', 'X', 'D']",0.71,2.6
24,1234,Islamic Republic of Iran ,Zanjān,751640,"['H', 'Q', 'K', 'J', 'B']",0.71,2.43
25,1245,Saint Kitts and Nevis,Saint Peter Basseterre,951570,"['V', 'C', 'I', 'O', 'P', 'K']",0.83,2.7
26,1249,Argentina,Formosa,800638,"['L', 'I', 'O', 'X', 'T', 'P', 'Y']",0.78,2.73
27,1258,Mauritania,Assaba,283426,"['O', 'X', 'N', 'F']",0.99,2.26
28,1266,Armenia,Vayoć Jor,114667,"['I', 'Y', 'T', 'U', 'H', 'V']",0.79,2.91
29,1272,United Arab Emirates,Abū Z̧aby,349300,"['T', 'H', 'J', 'Y']",0.92,2.35
30,1274,Sudan,Gezira,407988,"['F', 'B', 'H', 'W', 'I']",0.63,2.14
31,1279,Switzerland,Jura,764828,"['S', 'D', 'B', 'G']",0.96,2.31
32,1285,Mayotte,Unknown,510024,"['D', 'E']",0.77,2.61
33,1312,Austria,Salzburg,298763,"['P', 'A', 'G']",0.53,1.88
34,1328,Curaçao,Unknown,118793,['A'],0.54,1.88
35,1334,Malawi,Karonga,838221,"['F', 'J', 'E', 'H', 'X', 'B', 'Y']",0.76,2.06
36,1342,Maldives,South Miladhunmadulu,712194,['R'],0.96,2.4
37,1370,Northern Mariana Islands,Unknown,475709,"['X', 'N', 'W']",0.77,2.37
38,1407,Northern Mariana Islands,Unknown,292877,"['B', 'D', 'I']",0.82,2.21
39,1417,Philippines,Cebu,672396,"['P', 'I', 'Z', 'K', 'V', 'C', 'X']",0.55,2.03
40,1427,Belize,Stann Creek,702288,"['V', 'O', 'Z']",0.73,1.78
41,1429,Spain,"Murcia, Región de",616588,"['B', 'V', 'N', 'H']",0.68,2.36
42,1442,Saint Barthélemy,Unknown,360583,"['U', 'H', 'N', 'E', 'M', 'Y', 'A']",0.98,1.79
43,1443,Pitcairn,Unknown,340849,"['K', 'X', 'V', 'U', 'D', 'F', 'Y']",0.84,2.33
44,1453,Norfolk Island,Unknown,557269,"['O', 'H', 'D']",0.97,2.8
45,1464,Oman,Musandam,556774,"['A', 'L', 'T', 'E', 'N', 'C']",0.5,2.93
46,1469,Réunion,Unknown,762671,"['U', 'T', 'N', 'L']",0.58,2.31
