,index,sourceNodeName,targetNodeName,totalCost,isDirect,costs,nodeNames
0,10,Supplier 48580,Supplier 24646,170.0,True,"[0.0, 100.0, 170.0]","['Supplier 48580', 'Ssintship 10100', 'Supplier 24646']"
1,11,Supplier 48580,Supplier 51293,185.0,True,"[0.0, 100.0, 185.0]","['Supplier 48580', 'Ssintship 10000', 'Supplier 51293']"
2,12,Supplier 48580,Supplier 18952,185.0,True,"[0.0, 100.0, 185.0]","['Supplier 48580', 'Ssintship 10481', 'Supplier 18952']"
3,15,Supplier 48580,Customer 75256,200.0,True,"[0.0, 100.0, 200.0]","['Supplier 48580', 'Externaltransactions 1217', 'Customer 75256']"
4,16,Supplier 48580,Customer 49626,200.0,True,"[0.0, 100.0, 200.0]","['Supplier 48580', 'Externaltransactions 8383', 'Customer 49626']"
5,19,Supplier 48580,Customer 81782,200.0,True,"[0.0, 100.0, 200.0]","['Supplier 48580', 'Scextship 7960', 'Customer 81782']"
6,60,Supplier 48580,Supplier 87695,296.5,False,"[0.0, 100.0, 170.0, 240.75, 296.5]","['Supplier 48580', 'Ssintship 10100', 'Supplier 24646', 'Ssintship 10364', 'Supplier 87695']"
7,63,Supplier 48580,Supplier 72315,334.5,False,"[0.0, 100.0, 170.0, 267.25, 334.5]","['Supplier 48580', 'Ssintship 10100', 'Supplier 24646', 'Ssintship 10349', 'Supplier 72315']"
8,65,Supplier 48580,Supplier 71916,351.5,False,"[0.0, 100.0, 185.0, 280.75, 351.5]","['Supplier 48580', 'Ssintship 10000', 'Supplier 51293', 'Ssintship 10056', 'Supplier 71916']"
9,66,Supplier 48580,Supplier 13951,352.5,False,"[0.0, 100.0, 185.0, 283.75, 352.5]","['Supplier 48580', 'Ssintship 10481', 'Supplier 18952', 'Ssintship 10173', 'Supplier 13951']"
10,67,Supplier 48580,Supplier 11186,355.0,False,"[0.0, 100.0, 185.0, 285.0, 355.0]","['Supplier 48580', 'Ssintship 10000', 'Supplier 51293', 'Ssintship 10282', 'Supplier 11186']"
