,From,To,From_Table,To_Table,Weight,Transportation_Cost,Transportation_Distance,Transportation_Duration,Transportation_Type,Rental price,price,profit_margin (%),market_share (%),Annual_sales,Distance,Edge_Name
0,484,1600,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
1,1600,140,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
2,426,1601,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
3,1601,72,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
4,465,1602,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
5,1602,2,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
6,374,1603,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
7,1603,137,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
8,475,1604,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
9,1604,92,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
10,335,1605,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
11,1605,56,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
12,459,1606,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
13,1606,43,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
14,389,1607,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
15,1607,18,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
16,363,1608,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
17,1608,35,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
18,374,1609,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
19,1609,142,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
20,350,1610,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
21,1610,116,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
22,599,1611,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
23,1611,88,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
24,459,1612,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
25,1612,104,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
26,503,1613,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
27,1613,37,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
28,311,1614,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
29,1614,119,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
30,571,1615,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
31,1615,92,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
32,348,1616,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
33,1616,90,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
34,462,1617,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
35,1617,66,Externaltransactions,Customer,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
36,426,1618,Supplier,Externaltransactions,100.0,0.0,0.0,0.0,N/A,0,0.0,0,0,0.0,0.0,externaltransactions
