,supplier_id,supplier_name,product_id,product_name,Total Manufacturing Cost,Total Sales,Profit/Loss,Target,manufacturing_cost,product_price
0,10161,Marchand Salmon et Fils,773,OOO,346061.52,12291971.36,11945909.84,27338860.08,848.19,2005.87
1,11186,"Norris, Dominguez and Smith",950,DDD,3779.1,130625.98,126846.87999999999,245641.5,198.9,170.53
2,11283,Godard,103,UUU,193233.04,4036485.24,3843252.2,12946613.68,380.38,567.48
3,11790,Campbell-West,254,RRR,478.65999999999997,15932.8,15454.14,26326.3,2.63,4.16
4,13283,Melendez-Williams,731,WWW,147084.85,7902431.34,7755346.49,11619703.15,1730.41,3438.83
5,13362,"Martin, Summers and Edwards",125,WWW,3814.0800000000004,91154.0,87339.92,358523.52,10.96,23.8
6,13920,Brock and Sons,534,XXX,34312.8,2136588.48,2102275.68,3156777.6,201.84,464.88
7,13951,Santoro-Bignami SPA,225,VVV,1739.6000000000001,124061.36,122321.76,168741.2,43.49,80.98
8,13951,Santoro-Bignami SPA,862,AAA,36203.31,604465.92,568262.6100000001,1954978.73,309.43,394.56
9,14125,Dörschner Naser GmbH,112,III,238583.12999999998,11712906.0,11474322.87,18609484.13,7696.23,7645.5
10,14125,Dörschner Naser GmbH,952,PPP,28767.74,2001680.5599999998,1972912.8199999998,2560328.86,1692.22,2613.16
11,15367,Schüler,897,SSS,4784.01,162491.58,157707.56999999998,339664.71,83.93,70.71
12,16265,Prati-Anastasi e figli,835,KKK,859243.73,26138095.439999998,25278851.709999997,62724792.29,7882.97,8530.71
13,18952,Calvo-Satriani e figli,358,QQQ,4361.76,440097.63999999996,435735.87999999995,309684.96,242.32,574.54
14,18952,Calvo-Satriani e figli,740,RRR,1667504.44,11251490.58,9583986.14,106720284.16,2905.06,4896.21
15,21166,"Martin, Ross and Doyle",831,OOO,57779.34,3307925.039999999,3250145.6999999993,4044553.8,247.98,616.92
16,21232,"Wong, Garcia and Ford",977,AAA,51053.9,501400.62,450346.72,3675880.8,133.3,218.19
17,24451,Knapp-Lynch,634,TTT,390.39,20720.300000000003,20329.910000000003,23423.4,4.29,5.41
18,24451,Knapp-Lynch,791,AAA,355.2,14592.3,14237.099999999999,26995.2,2.96,6.35
19,24646,Thanel Schlosser AG & Co. KG,740,RRR,248488.84000000003,3750496.86,3502008.02,19630618.36,3269.59,4896.21
20,24646,Thanel Schlosser AG & Co. KG,472,WWW,146.25,8709.42,8563.17,14040.0,3.25,3.79
21,26533,Miller PLC,854,WWW,670.41,19839.399999999998,19168.989999999998,36872.54,3.51,5.18
22,27057,"Patel, Payne and Lee",742,OOO,159311.87999999998,4657509.8,4498197.92,8921465.27,5900.44,6080.3
23,28873,Herrmann,675,TTT,25061.54,331448.2,306386.66000000003,2105169.36,52.43,86.54
24,29277,Ortmann Eigenwillig GbR,320,OOO,579674.16,31695319.5,31115645.34,49851977.76,7431.72,8645.75
25,30692,Parsons-Miles,492,OOO,312674.54,15197639.159999998,14884964.62,25951986.81,9196.31,9920.13
26,30864,Rose KG,576,UUU,5578.65,316603.12,311024.47,345876.3,88.55,103.33
