ExtTran_id,CompFrom,Custto
2611,74318,13248
7858,90236,99404
4247,19878,50653
2530,91465,50014
3381,54148,87421
2789,55441,18065
1733,87916,95167
7320,24451,35953
7832,86815,41538
3849,91465,12666
2655,71819,41100
7454,48467,14259
5407,87916,90435
8813,52082,97225
6163,10161,11082
7226,15367,87421
6696,18952,15908
9153,54921,63285
9795,90236,60542
5702,29277,48068
6970,43284,50014
6214,51293,91846
8124,43691,39892
7236,68240,90435
5260,91465,80996
8383,48580,49626
1030,26533,55905
4561,89467,62831
8815,68357,11346
8157,16265,14574
3686,18997,82421
9808,92698,63407
4703,82144,90589
2345,19072,18451
4876,75444,44945
3766,94512,97225
3134,36417,88373
5427,18997,95571
9134,19878,16771
7378,10731,90435
1784,36417,27430
6347,28042,59444
9300,46070,17879
5956,30864,14574
6322,24646,76264
5374,26533,32489
4297,42091,64367
7943,21232,28691
5881,40597,50653
8961,85240,58600
1796,19878,17040
1756,54148,91846
7334,71056,33170
7929,92698,75256
3530,48467,84885
6574,48467,60867
6912,46942,81529
6793,96293,22228
6628,86815,64070
6092,87695,75256
6663,13920,48071
9598,61570,12666
4235,19878,81331
6055,21232,53519
7443,11186,90435
5176,54921,10613
5334,13951,78170
1822,24451,56182
5023,81423,78170
9156,30692,98678
7892,68357,14259
3549,20226,24338
1532,30864,95549
8014,18952,80996
4294,55787,41344
5442,70050,81997
7255,90942,47008
4662,71916,50653
4680,43160,38534
6431,43160,50653
9057,57109,60867
8003,92698,95571
2285,43691,85709
2466,96293,91846
8367,90236,95571
2603,42179,18779
1217,48580,75256
5644,57109,82092
6889,70050,97225
8838,82144,66152
3053,87916,16771
8650,70443,41344
3325,36243,14574
3720,13283,78170
9431,70050,32819
9232,87695,11082
8429,13920,41538
4926,23640,78934
6209,35841,18779
8719,87695,32819
