IntOrders_id,IntShip_id,quantity,placed_when,actual_date,expected_date,cost,status
8605,2360,766,1993-05-08,1993-05-30 00:00:00,1993-06-01,38.90,Closed
6266,6224,438,1975-01-08,NA,1975-02-01,7.95,Out For Delivery
3057,1388,771,2007-10-29,2007-11-08 00:00:00,2007-11-16,8.24,Closed
7340,9456,870,2000-07-24,2000-08-07 00:00:00,2000-08-03,17.14,Delayed
5318,6798,801,2021-01-18,2021-02-07 00:00:00,2021-01-29,7560.41,Delayed
2439,8796,882,1978-07-09,NA,1978-07-28,35.13,Out For Delivery
1851,4895,220,2002-12-28,NA,2003-01-22,2.96,Out For Delivery
9800,3996,399,1975-10-06,NA,1975-10-29,83.16,Out For Delivery
1532,8335,127,2009-06-07,NA,2009-07-05,8.25,Out For Delivery
5348,3541,809,1978-12-31,1979-01-30 00:00:00,1979-01-24,6.34,Delayed
4034,5161,347,1998-12-26,NA,1999-01-06,4611.72,Out For Delivery
2409,9313,560,2017-06-07,2017-06-18 00:00:00,2017-07-04,93.94,Closed
8214,8929,324,2016-11-22,2016-12-17 00:00:00,2016-12-04,2739.68,Delayed
4939,5797,819,1970-01-23,NA,1970-02-18,6.82,Out For Delivery
5668,8796,232,1997-06-22,1997-07-20 00:00:00,1997-07-16,7.89,Delayed
8787,6627,572,2009-02-14,2009-03-09 00:00:00,2009-03-02,9.90,Delayed
1084,7027,784,1999-04-03,1999-04-27 00:00:00,1999-04-16,97.34,Delayed
2364,7103,180,2019-01-06,NA,2019-01-25,6.68,Out For Delivery
7903,8010,164,1991-02-02,1991-02-17 00:00:00,1991-02-28,616.71,Closed
2468,8522,985,2021-06-25,2021-07-22 00:00:00,2021-07-11,8.33,Delayed
2591,1480,373,2013-04-16,NA,2013-05-07,3551.90,Out For Delivery
4212,8965,372,2004-10-23,2004-11-08 00:00:00,2004-11-16,5.10,Closed
6448,3632,712,2005-09-16,2005-10-02 00:00:00,2005-10-02,579.95,Closed
4635,3070,766,1974-01-15,NA,1974-01-31,816.75,Out For Delivery
5281,9456,260,1984-09-03,1984-09-27 00:00:00,1984-09-30,675.35,Closed
2301,2914,326,2004-12-11,NA,2004-12-22,2743.82,Out For Delivery
1122,9456,101,2009-02-05,NA,2009-03-06,775.63,Out For Delivery
9236,7027,638,2017-09-27,2017-10-27 00:00:00,2017-10-20,656.49,Delayed
8078,2742,788,1970-12-28,1971-01-10 00:00:00,1971-01-23,557.82,Closed
3884,8522,880,1980-06-04,1980-06-19 00:00:00,1980-06-25,1260.13,Closed
9930,7072,202,1997-09-25,NA,1997-10-19,309.20,Out For Delivery
1724,4147,582,2007-11-27,NA,2007-12-11,6245.32,Out For Delivery
6900,8335,256,1987-10-05,1987-10-15 00:00:00,1987-10-20,27.41,Closed
6575,3477,900,1971-04-16,1971-05-15 00:00:00,1971-05-10,802.38,Delayed
6219,2887,598,2001-06-19,NA,2001-07-15,6.27,Out For Delivery
6539,9313,629,2017-01-24,NA,2017-02-06,8441.79,Out For Delivery
4575,6466,939,1973-06-25,1973-07-23 00:00:00,1973-07-08,66.49,Delayed
9229,4885,852,1976-02-19,NA,1976-03-18,891.94,Out For Delivery
8648,1451,751,1997-09-20,1997-10-20 00:00:00,1997-10-19,1.86,Delayed
6274,4066,734,1979-09-08,NA,1979-09-19,953.79,Out For Delivery
7572,4496,544,2018-06-02,NA,2018-06-26,26.16,Out For Delivery
4582,3258,127,1983-09-02,NA,1983-09-20,3816.57,Out For Delivery
4203,9818,126,1984-03-25,NA,1984-04-09,4.50,Out For Delivery
6461,8649,297,2014-08-26,NA,2014-09-11,8149.50,Out For Delivery
8577,8155,287,1972-06-12,1972-07-01 00:00:00,1972-07-03,499.21,Closed
8229,1548,199,1986-04-04,NA,1986-04-23,9650.16,Out For Delivery
5208,2252,914,2012-04-05,NA,2012-04-15,3908.99,Out For Delivery
7029,7864,885,1996-12-20,NA,1997-01-07,8077.85,Out For Delivery
6047,6881,823,2000-07-02,2000-07-23 00:00:00,2000-07-25,6293.39,Closed
6974,6466,449,1998-09-26,NA,1998-10-16,8.67,Out For Delivery
5776,9456,330,1975-05-28,NA,1975-06-26,4.37,Out For Delivery
9091,1571,755,1978-12-31,1979-01-30 00:00:00,1979-01-10,350.65,Delayed
3550,7072,958,2014-03-13,2014-03-28 00:00:00,2014-03-23,8701.11,Delayed
7962,5797,932,2012-04-18,2012-05-08 00:00:00,2012-05-01,752.20,Delayed
5876,9456,181,2009-02-14,NA,2009-03-04,429.97,Out For Delivery
3196,6542,655,2000-11-29,2000-12-16 00:00:00,2000-12-12,236.57,Delayed
1174,4524,821,1988-09-23,1988-10-12 00:00:00,1988-10-16,99.88,Closed
1548,8990,290,2004-06-19,NA,2004-07-07,461.95,Out For Delivery
6613,1441,190,1975-12-09,NA,1975-12-30,512.12,Out For Delivery
5228,1610,211,1995-07-30,1995-08-15 00:00:00,1995-08-25,816.65,Closed
5094,3916,255,1990-01-10,NA,1990-01-30,7.49,Out For Delivery
7688,2742,635,1996-01-16,1996-02-12 00:00:00,1996-01-30,85.39,Delayed
1350,1851,649,2016-11-16,NA,2016-12-16,814.31,Out For Delivery
6181,9492,826,1986-09-29,NA,1986-10-13,5342.78,Out For Delivery
2751,2663,734,2008-09-26,2008-10-13 00:00:00,2008-10-13,208.78,Closed
1139,2067,570,2012-06-05,2012-06-29 00:00:00,2012-06-16,247.20,Delayed
4655,4462,442,2017-12-21,2018-01-17 00:00:00,2018-01-03,9533.54,Delayed
8167,9766,981,1970-11-17,1970-12-11 00:00:00,1970-12-12,372.53,Closed
4257,1851,206,2002-06-16,2002-07-15 00:00:00,2002-07-10,230.92,Delayed
5174,4895,758,1999-12-05,1999-12-26 00:00:00,1999-12-20,15.12,Delayed
8373,5718,979,1998-01-23,NA,1998-02-11,29.38,Out For Delivery
4826,3070,870,2011-03-06,2011-03-23 00:00:00,2011-03-26,7671.10,Closed
7505,2838,673,1984-12-21,NA,1985-01-19,6.32,Out For Delivery
3831,8649,662,1972-08-14,NA,1972-09-04,553.73,Out For Delivery
3912,1451,800,1976-02-05,NA,1976-02-17,3676.62,Out For Delivery
6804,2732,716,2017-08-08,2017-09-03 00:00:00,2017-08-19,598.57,Delayed
8765,5671,523,2018-05-18,2018-06-11 00:00:00,2018-06-08,4.30,Delayed
2726,4462,900,2010-11-26,2010-12-22 00:00:00,2010-12-17,1.63,Delayed
9909,2933,235,2014-06-11,2014-07-11 00:00:00,2014-06-28,78.77,Delayed
1690,5555,441,1989-05-14,1989-05-25 00:00:00,1989-05-28,820.54,Closed
8993,2933,823,2001-08-01,NA,2001-08-14,280.77,Out For Delivery
9802,2168,843,1990-06-06,1990-06-26 00:00:00,1990-06-19,7460.73,Delayed
5603,4334,729,2020-04-20,2020-05-02 00:00:00,2020-05-18,4534.31,Closed
8197,9700,771,1972-06-23,NA,1972-07-10,635.91,Out For Delivery
9185,8598,469,2016-09-20,2016-10-16 00:00:00,2016-10-13,910.64,Delayed
6471,2887,684,2017-06-13,NA,2017-07-09,1254.47,Out For Delivery
5692,1851,657,2009-03-25,2009-04-22 00:00:00,2009-04-12,841.31,Delayed
4009,1451,737,1997-08-06,1997-08-22 00:00:00,1997-08-22,92.71,Closed
7965,7281,259,2015-07-26,2015-08-13 00:00:00,2015-08-08,92.52,Delayed
1625,6542,461,1983-05-31,1983-06-13 00:00:00,1983-06-25,2.28,Closed
7329,2067,635,1972-03-06,1972-03-27 00:00:00,1972-03-22,778.83,Delayed
3273,4462,414,2003-03-01,2003-03-20 00:00:00,2003-03-30,81.58,Closed
5047,1610,389,1973-11-01,NA,1973-11-19,24.78,Out For Delivery
2537,6542,724,2011-01-13,2011-02-09 00:00:00,2011-01-30,3504.73,Delayed
3865,8010,717,1987-06-14,NA,1987-07-01,94.88,Out For Delivery
5886,4462,106,2005-06-09,NA,2005-06-29,6054.80,Out For Delivery
3659,3070,919,1986-03-26,NA,1986-04-10,327.18,Out For Delivery
6969,4524,218,1989-01-15,1989-02-06 00:00:00,1989-01-29,515.14,Delayed
9165,4066,345,2016-08-29,2016-09-10 00:00:00,2016-09-18,4.24,Closed
8847,1548,525,2007-02-09,2007-03-01 00:00:00,2007-02-24,9.58,Delayed
