IntServ_id,IntTrans_id,placed_when,actual_date,expected_date,quota,status
5822,5738,1971-03-20,1971-04-03,1971-04-19,7.20,Processed
9032,1952,1985-07-11,1985-08-01,1985-07-27,2.65,Pending
6669,4782,1987-07-14,1987-08-12,1987-08-07,3.64,Pending
1165,8659,2000-08-31,2000-09-11,2000-09-24,1248.57,Processed
7448,4782,1988-01-11,1988-02-05,1988-02-09,17.11,Processed
6913,5700,2010-03-12,2010-04-01,2010-04-04,6.58,Processed
2070,7927,2002-01-30,2002-02-13,2002-02-18,76.51,Processed
1542,1609,1970-08-13,1970-08-27,1970-08-30,380.45,Processed
3478,2741,1986-08-26,1986-09-18,1986-09-10,38.84,Pending
6012,9371,2002-05-23,2002-06-22,2002-06-04,30.65,Pending
3442,2558,2003-10-18,2003-11-08,2003-11-07,641.90,Pending
8137,8092,1972-07-10,1972-07-21,1972-08-08,70.31,Processed
4232,1132,1979-04-10,1979-05-10,1979-05-10,2.70,Processed
8597,5792,1978-09-06,1978-10-03,1978-10-01,1764.32,Pending
7169,8312,1996-12-12,1997-01-04,1997-01-06,4245.86,Processed
9244,9083,1975-07-28,1975-08-24,1975-08-07,5.45,Pending
4340,5792,2007-11-26,2007-12-25,2007-12-18,170.87,Pending
9022,7344,1985-09-03,1985-10-03,1985-09-27,70.40,Pending
1773,6646,2006-10-09,2006-10-19,2006-10-28,4235.53,Processed
4304,4735,1988-02-22,1988-03-03,1988-03-10,276.26,Processed
3732,7076,2002-11-25,2002-12-08,2002-12-14,465.36,Processed
4952,7910,2016-03-01,2016-03-22,2016-03-29,5.50,Processed
9238,7910,1991-04-01,1991-04-13,1991-04-23,6.28,Processed
9421,4735,2014-10-16,2014-11-15,2014-11-14,1.96,Pending
8045,6220,1999-07-28,1999-08-20,1999-08-10,9.39,Pending
5012,7083,2003-01-25,2003-02-18,2003-02-24,225.15,Processed
9361,8355,1988-09-08,1988-09-21,1988-09-23,840.40,Processed
4361,6646,1985-04-03,1985-04-20,1985-04-17,47.27,Pending
3409,5939,1986-05-10,1986-05-24,1986-05-25,994.80,Processed
8952,9186,1983-11-14,1983-11-29,1983-12-13,8.18,Processed
6064,3277,2010-04-20,2010-05-04,2010-05-04,922.66,Processed
5693,9055,2016-04-03,2016-04-26,2016-04-27,8425.21,Processed
5837,9055,1988-06-07,1988-07-07,1988-06-26,3.65,Pending
9535,6661,2009-07-04,2009-07-22,2009-07-16,68.39,Pending
7353,8824,1988-07-06,1988-07-16,1988-07-26,360.39,Processed
1984,6924,2010-08-30,2010-09-19,2010-09-29,7.42,Processed
8670,2715,1994-05-18,1994-05-28,1994-06-10,6.44,Processed
4897,2751,2009-04-16,2009-05-14,2009-04-26,88.20,Pending
4504,8024,2011-05-22,2011-06-07,2011-06-13,1726.45,Processed
2673,7639,2010-11-22,2010-12-22,2010-12-18,479.65,Pending
7406,9683,1992-01-22,1992-02-17,1992-02-02,8.84,Pending
9586,2741,1985-11-20,1985-11-30,1985-12-20,4361.40,Processed
7190,8010,1999-03-10,1999-04-08,1999-04-06,4594.10,Pending
7115,4327,2019-04-01,2019-04-11,2019-04-28,98.55,Processed
6268,2558,1984-01-02,1984-01-23,1984-01-18,9.45,Pending
9281,4327,2001-01-12,2001-02-08,2001-02-01,5447.33,Pending
2244,6220,1993-03-05,1993-03-31,1993-03-18,1.32,Pending
3580,4645,1992-10-01,1992-10-16,1992-10-24,960.59,Processed
6650,6334,1986-10-21,1986-11-11,1986-11-06,8.97,Pending
1732,9186,1988-06-03,1988-06-29,1988-06-15,145.49,Pending
1158,8731,2007-04-01,2007-04-20,2007-04-11,5814.78,Pending
4007,1832,1975-05-09,1975-05-21,1975-05-26,181.36,Processed
5454,4327,2016-03-23,2016-04-10,2016-04-20,86.85,Processed
8831,4645,1985-08-17,1985-09-02,1985-09-03,4236.58,Processed
5612,8970,1989-02-28,1989-03-20,1989-03-16,8206.79,Pending
1219,3581,2009-01-14,2009-01-24,2009-02-08,5.17,Processed
2770,8824,2010-02-15,2010-03-15,2010-03-08,7591.33,Pending
4510,9001,1981-12-21,1982-01-10,1982-01-10,75.29,Processed
8396,1289,2014-01-17,2014-02-01,2014-02-16,671.18,Processed
2013,8312,2001-01-08,2001-02-03,2001-01-21,6.62,Pending
3678,6924,2007-04-09,2007-04-27,2007-04-27,11.26,Processed
2018,3081,2004-08-10,2004-09-03,2004-09-01,830.68,Pending
4331,1832,2020-08-17,2020-09-13,2020-08-30,9.62,Pending
2422,2741,1993-04-01,1993-04-20,1993-04-19,758.96,Pending
4659,9001,2007-02-21,2007-03-03,2007-03-11,71.74,Processed
1377,1609,1977-11-18,1977-12-12,1977-12-16,465.71,Processed
7264,7564,1992-07-04,1992-07-18,1992-08-02,676.58,Processed
8623,7076,2008-08-26,2008-09-09,2008-09-07,947.63,Pending
5975,1733,2015-08-23,2015-09-07,2015-09-19,83.65,Processed
1508,5651,1973-04-24,1973-05-15,1973-05-16,90.51,Processed
6508,8775,1980-05-28,1980-06-13,1980-06-22,8836.67,Processed
8972,8228,2021-02-21,2021-03-03,2021-03-23,48.13,Processed
9704,9055,1980-07-22,1980-08-08,1980-08-07,7.38,Pending
7290,4502,1998-03-15,1998-04-14,1998-04-12,23.84,Pending
7899,9378,2008-06-04,2008-06-19,2008-06-17,9.84,Pending
6763,9347,2011-12-27,2012-01-07,2012-01-08,8702.11,Processed
2503,7564,1988-01-30,1988-02-27,1988-02-25,1.95,Pending
8138,9913,2006-11-07,2006-12-06,2006-12-03,12.96,Pending
3595,9186,1998-10-19,1998-11-06,1998-11-18,9.29,Processed
9794,8024,1980-05-31,1980-06-28,1980-06-29,897.58,Processed
8030,1952,2008-02-01,2008-02-12,2008-03-02,276.75,Processed
9513,3277,1992-07-05,1992-07-27,1992-07-16,90.44,Pending
4374,8775,1987-09-12,1987-09-22,1987-09-22,131.36,Processed
9798,9371,1995-12-08,1996-01-03,1995-12-30,76.55,Pending
7538,3008,1997-11-23,1997-12-13,1997-12-14,8.14,Processed
5422,3919,1973-08-27,1973-09-22,1973-09-15,93.63,Pending
8746,5738,1971-10-11,1971-10-23,1971-11-04,974.11,Processed
4000,6334,1970-03-05,1970-03-15,1970-03-27,6890.43,Processed
9477,4645,1972-06-02,1972-06-14,1972-06-28,5.53,Processed
7281,2751,2014-01-31,2014-02-19,2014-02-19,25.58,Processed
5084,7473,1987-09-23,1987-10-11,1987-10-21,3.69,Processed
1025,9001,2016-02-07,2016-02-19,2016-02-29,69.92,Processed
9422,9378,1997-11-30,1997-12-22,1997-12-19,282.63,Pending
8364,7927,1985-07-16,1985-07-26,1985-08-10,56.43,Processed
7116,2558,1990-05-05,1990-05-27,1990-05-31,58.22,Processed
9334,4502,2017-02-28,2017-03-13,2017-03-13,861.82,Processed
5599,3581,1973-05-05,1973-05-26,1973-05-21,902.96,Pending
3103,1793,1988-06-22,1988-07-18,1988-07-13,60.33,Pending
4859,6220,2000-05-01,2000-05-14,2000-05-16,9866.19,Processed
5732,5792,1997-04-03,1997-04-15,1997-04-19,3.74,Processed
