Manf_id,Different_suppliers,Product_id,Factory_id,yield (%),target (%)
9915,"(99762, 57551, 96293)",831,21166,23,70
5785,"(30692, 42179, 20226, 48580, 68240, 56104, 36417, 97142, 13283)",911,51293,21,57
9943,"(51293, 65468)",885,48580,24,62
4612,"(46942, 86815, 40898)",728,74432,8,57
8676,"(68357, 28042, 18997, 58976, 68615, 13920, 13951, 46894, 10161)",812,70468,7,63
3504,"(36985, 61570, 99762, 65468, 14125, 87916, 58976, 57109, 55441, 71597)",858,87695,2,68
4616,"(78265, 87695, 26533, 42179, 77743, 61565, 74318, 94512, 61570)",472,24646,50,96
2832,"(42179, 87695)",316,82144,32,53
3643,"(35841, 55787, 30692, 52647, 46894, 43160, 19072, 40898, 71916, 42179)",103,11283,14,67
5930,"(36985, 36243, 71574, 42091, 90942)",259,72315,7,56
5933,"(51293, 43284, 71597)",549,71916,7,90
7885,"(97142, 19878, 18997, 91465, 43691, 13951, 46942)",801,99762,13,53
4818,"(11283, 81423, 46894)",217,70443,8,90
2386,"(36985, 70468, 28873, 24451, 72315, 71819, 46942, 92698)",938,76443,44,75
6887,"(55441, 10731, 96293, 11283, 10161, 46894)",930,36243,17,88
3200,"(36243, 55441, 13920, 94512, 74318, 56104)",854,26533,20,55
3846,"(10161, 14125)",149,36985,5,88
2523,"(56104, 57109, 81423, 72315, 21166, 40898)",773,10161,15,79
2873,"(13362, 57109, 42091, 48580)",312,24646,40,51
7415,"(28042, 87916, 55441, 82144, 75444, 43691, 20226, 46894)",791,24451,19,76
3941,"(68814, 70468, 71916, 36243)",492,30692,45,83
4596,"(20226, 13362, 43284)",338,54148,43,80
5688,"(28042,)",862,13951,13,54
8024,"(75444, 40898, 15367, 51293, 21232, 43691, 18952)",742,71574,40,78
3881,"(71819, 74432, 99762, 18997, 24451, 13283)",990,40597,8,97
3319,"(78265,)",933,81423,48,79
3678,"(24646, 68240, 35841, 56104, 10161, 74432, 96293)",740,18952,4,64
6037,"(55441, 46942, 40597, 28873, 74318, 42179, 61570, 11790)",418,65468,2,85
8959,"(46070, 61565, 76443, 87916, 40898, 20226, 13920, 87695, 46204, 34967)",343,54148,12,88
5659,"(78265, 19878, 57109, 77743, 87916)",519,14125,39,58
1725,"(55441, 71597, 46204, 21166, 71916, 24451, 99762)",242,43284,12,74
2337,"(96293, 71056, 35266, 72315)",748,26533,12,56
4516,"(68615, 94512)",166,61565,44,78
3740,"(18952, 81423, 28873, 52647)",225,13951,38,97
2483,"(28873, 82144)",901,71819,16,69
1411,"(19878, 21232, 97142, 55441, 11283, 89467, 43691, 70468)",571,94512,43,81
6067,"(51293, 97142, 70468, 54921, 10731, 52082)",195,65468,5,65
8181,"(43284, 13920, 24451, 74432, 23640)",291,90942,34,55
2448,"(99762, 61570, 46942)",457,36417,26,77
