fac_id,supplier_id,market_cap,country,city_name,currency,number_of_employees,Annual_sales
694420,81114,"166    1.265555e+10
Name: market_capitalization ($), dtype: float64",Algeria,Laghouat,Dollars,260,6044.69
678955,81114,"166    2.036310e+10
Name: market_capitalization ($), dtype: float64",New Caledonia,NA,Dollars,343,7.51
719035,81114,"166    2.420775e+10
Name: market_capitalization ($), dtype: float64",Slovakia,Trenčiansky kraj,Dollars,720,4.25
240432,81114,"166    2.079319e+09
Name: market_capitalization ($), dtype: float64",Yemen,Laḩij,Dollars,584,9900.93
385384,81114,"166    8.591279e+10
Name: market_capitalization ($), dtype: float64",Western Sahara,NA,Dollars,568,458.37
661839,81114,"166    2.734895e+10
Name: market_capitalization ($), dtype: float64",Slovenia,Medvode,Dollars,694,5.35
263477,81114,"166    1.083358e+11
Name: market_capitalization ($), dtype: float64",Guadeloupe,NA,Dollars,251,11.41
144639,81114,"166    1.124493e+11
Name: market_capitalization ($), dtype: float64",South Georgia and the South Sandwich Islands,NA,Dollars,277,255.42
858404,81114,"166    1.057949e+09
Name: market_capitalization ($), dtype: float64",Palau,Koror,Dollars,751,9266.29
991077,81114,"166    4.626895e+10
Name: market_capitalization ($), dtype: float64",Denmark,Midtjylland,Dollars,542,9931.72
915035,68177,"132    2.967672e+10
Name: market_capitalization ($), dtype: float64",Guinea-Bissau,Leste,Dollars,746,41.61
905177,68177,"132    2.839565e+09
Name: market_capitalization ($), dtype: float64",Yemen,Ibb,Dollars,296,5.57
701418,68177,"132    9.832485e+08
Name: market_capitalization ($), dtype: float64",Åland Islands,NA,Dollars,586,19.86
952688,68177,"132    2.634435e+09
Name: market_capitalization ($), dtype: float64",Tonga,Niuas,Dollars,716,5.84
161033,68177,"132    3.052891e+08
Name: market_capitalization ($), dtype: float64",El Salvador,Cabañas,Dollars,679,149.39
480583,68177,"132    2.003191e+10
Name: market_capitalization ($), dtype: float64",Angola,Lunda-Norte,Dollars,549,85.53
909341,68177,"132    6.659167e+08
Name: market_capitalization ($), dtype: float64",Gabon,Ogooué-Lolo,Dollars,462,36.35
480533,68177,"132    1.723084e+10
Name: market_capitalization ($), dtype: float64",Slovenia,Loška dolina,Dollars,389,1248.56
699500,68177,"132    2.509796e+10
Name: market_capitalization ($), dtype: float64",Wallis and Futuna,Alo,Dollars,975,8765.69
404028,68177,"132    2.468181e+09
Name: market_capitalization ($), dtype: float64",Kenya,Meru,Dollars,735,4.68
957998,70869,"237    7.509332e+10
Name: market_capitalization ($), dtype: float64",American Samoa,NA,Dollars,228,688.85
907715,70869,"237    1.154536e+11
Name: market_capitalization ($), dtype: float64",Belarus,Mahilioŭskaja voblasć,Dollars,529,4386.16
790711,70869,"237    3.454170e+11
Name: market_capitalization ($), dtype: float64",Georgia,Mtskheta-Mtianeti,Dollars,268,3277.6
282126,70869,"237    5.220567e+10
Name: market_capitalization ($), dtype: float64",Aruba,NA,Dollars,366,82.73
399770,70869,"237    1.352524e+11
Name: market_capitalization ($), dtype: float64",Mexico,Guanajuato,Dollars,406,2336.34
898663,70869,"237    6.135573e+10
Name: market_capitalization ($), dtype: float64",Andorra,Andorra la Vella,Dollars,454,23.14
577085,70869,"237    2.978424e+10
Name: market_capitalization ($), dtype: float64",Spain,Zaragoza,Dollars,474,9.42
559237,70869,"237    1.040055e+10
Name: market_capitalization ($), dtype: float64",Canada,Alberta,Dollars,980,123.75
711270,70869,"237    1.704713e+10
Name: market_capitalization ($), dtype: float64",Canada,Newfoundland and Labrador,Dollars,223,8.24
869533,70869,"237    7.452748e+09
Name: market_capitalization ($), dtype: float64",Peru,Ancash,Dollars,782,156.49
739435,99101,"289    2.855209e+09
Name: market_capitalization ($), dtype: float64",Mongolia,Arhangay,Dollars,115,2636.67
726402,99101,"289    6.056477e+09
Name: market_capitalization ($), dtype: float64",Ghana,Eastern,Dollars,954,89.17
950184,99101,"289    1.190761e+10
Name: market_capitalization ($), dtype: float64",Honduras,Lempira,Dollars,417,9.58
698173,99101,"289    8.317802e+09
Name: market_capitalization ($), dtype: float64",Tunisia,Sidi Bouzid,Dollars,301,722.28
268235,99101,"289    4.307800e+10
Name: market_capitalization ($), dtype: float64",Indonesia,Riau,Dollars,957,408.91
310760,99101,"289    3.418696e+10
Name: market_capitalization ($), dtype: float64",Côte d'Ivoire,Savanes,Dollars,475,8124.43
159199,99101,"289    3.886666e+10
Name: market_capitalization ($), dtype: float64",Central African Republic,Haute-Sangha / Mambéré-Kadéï,Dollars,679,6.78
872449,99101,"289    4.301667e+10
Name: market_capitalization ($), dtype: float64",United States,Kentucky,Dollars,397,268.77
170447,99101,"289    5.640946e+09
Name: market_capitalization ($), dtype: float64",Slovakia,Bratislavský kraj,Dollars,461,4.75
854146,99101,"289    2.582887e+10
Name: market_capitalization ($), dtype: float64",Mali,Tombouctou,Dollars,580,1.73
223443,58047,"34    1.788204e+09
Name: market_capitalization ($), dtype: float64",Guernsey,NA,Dollars,651,4.1
264966,58047,"34    3.185051e+10
Name: market_capitalization ($), dtype: float64",Kenya,Nyandarua,Dollars,981,530.86
114492,58047,"34    1.076246e+10
Name: market_capitalization ($), dtype: float64",Burundi,Gitega,Dollars,752,8.47
635474,58047,"34    3.027619e+09
Name: market_capitalization ($), dtype: float64",Kuwait,Al Farwānīyah,Dollars,198,4.12
140421,58047,"34    9.607951e+09
Name: market_capitalization ($), dtype: float64","Palestine, State of",Jerusalem,Dollars,702,5.59
710562,58047,"34    1.332478e+09
Name: market_capitalization ($), dtype: float64",Viet Nam,Lào Cai,Ngultrum,210,3.13
280099,58047,"34    8.277047e+09
Name: market_capitalization ($), dtype: float64",Somalia,Banaadir,Dollars,715,1.81
935017,58047,"34    2.562283e+09
Name: market_capitalization ($), dtype: float64",Chile,Los Lagos,Dollars,745,289.61
641455,58047,"34    1.028714e+10
Name: market_capitalization ($), dtype: float64",French Southern Territories,NA,Dollars,953,431.15
