,prod_id,product_type,product_name,warehouses,price,profit_margin (%)
0,911,M,WWW,"[(5498, 7733), (6164, 6415), (5623, 9071), (7418, 7764), (8962, 6895), (7721, 8872), (4208, 8671), (8714, 7334), (1285, 7810)]",3088.68,24
1,316,F,MMM,"[(3865, 9716), (5351, 5872)]",107.39,47
2,549,P,LLL,"[(1969, 6485)]",47.14,7
3,801,V,SSS,"[(3613, 5988), (4412, 9577), (2730, 7577), (1482, 6089), (2430, 8458), (7465, 9800), (8954, 5653), (1187, 7264), (8332, 9294), (4421, 8474)]",13.62,6
4,791,R,AAA,"[(3514, 9284), (9292, 8851), (9388, 5210), (6379, 9579), (1149, 8075), (1526, 9729), (6928, 6175), (1888, 9398)]",6.35,7
5,862,Q,AAA,"[(8327, 8028), (5961, 6543), (2538, 9301), (4167, 7707), (7451, 5113), (8950, 7681), (1417, 8447), (1149, 5339), (6507, 5292), (9023, 9853)]",394.56,22
6,255,Y,MMM,"[(7306, 7529)]",500.55,50
7,291,W,FFF,"[(2587, 6176), (5819, 6584), (7033, 7080), (4420, 5202), (3259, 6239), (7043, 8181)]",48.63,35
8,804,H,HHH,"[(9981, 7237), (1172, 6111), (7550, 8949), (2891, 9024), (7634, 7219), (4744, 8761), (3826, 7300)]",7.82,42
9,976,R,YYY,"[(7622, 6611), (5163, 6480), (2275, 8391), (1538, 7074)]",425.27,9
10,318,Y,WWW,"[(2855, 5442), (2689, 8068), (3238, 5094), (8035, 7142), (3112, 6022), (6229, 5441), (6869, 8069), (3638, 6076), (5886, 8409)]",278.88,11
11,663,X,KKK,"[(6859, 7353)]",877.77,37
12,304,C,HHH,"[(7094, 5037)]",446.51,22
13,523,L,WWW,"[(7347, 9270), (1992, 7255), (3387, 5564), (3990, 5484), (4232, 7916)]",2947.87,9
14,933,D,CCC,"[(7808, 8990), (7840, 6806), (3000, 5383), (9772, 5916)]",566.24,40
15,930,Z,AAA,"[(3661, 5547), (2329, 8091), (6173, 7128), (4408, 8231), (9403, 7228), (6833, 7146)]",7.42,47
