,label,Attributes
0,retailer,['Tunisia' 'Kairouan' 'distributer' 650 list([]) 5 7 169554]
1,retailer,['Kuwait' 'Al Farwānīyah' 'vendor' 441 list([]) 1 8 325442]
2,retailer,['Qatar' 'Ash Shīḩānīyah' 'abroad' 821 list([]) 2 9 426160]
3,retailer,"['Greece' 'Dytikí Makedonía' 'customer end' 123
 list(['Healthcare Systems & Services']) 2 4 1347204]"
4,retailer,['Gambia' 'Banjul' 'vendor' 815 list([]) 4 7 1843949]
5,retailer,"['Greece' 'Kentrikí Makedonía' 'abroad' 529
 list(['Paper, Forest Products & Packaging']) 5 1 1057000]"
6,retailer,['Tajikistan' 'Kŭhistoni Badakhshon' 'vendor' 356 list([]) 3 8 1133068]
7,retailer,['Cambodia' 'Kaoh Kong' 'vendor' 826 list(['Metals & Mining']) 1 9 1741565]
8,retailer,"['Saint Kitts and Nevis' 'Saint Mary Cayon' 'customer end' 352 list([]) 1
 9 19522]"
9,retailer,['Georgia' 'Mtskheta-Mtianeti' 'customer end' 677 list([]) 3 4 1136762]
10,retailer,"['Samoa' 'Tuamasaga' 'customer end' 992
 list(['Paper, Forest Products & Packaging']) 2 3 1728641]"
11,retailer,['South Sudan' 'Northern Bahr el Ghazal' 'vendor' 400 list([]) 4 6 934590]
12,retailer,['Nauru' 'Uaboe' 'distributer' 814 list([]) 3 9 469890]
13,retailer,"['French Southern Territories' 'Unknown' 'abroad' 473 list(['Retail']) 3 2
 442904]"
14,retailer,['Puerto Rico' 'Unknown' 'vendor' 988 list([]) 5 7 1929635]
15,retailer,['Albania' 'Tirana' 'abroad' 699 list([]) 2 2 1169168]
16,retailer,['Belgium' 'Limburg' 'abroad' 316 list([]) 3 2 1908953]
17,retailer,['Finland' 'Norra Savolax' 'distributer' 300 list([]) 2 8 1209087]
18,retailer,['Qatar' 'Al Wakrah' 'customer end' 159 list([]) 3 9 1090841]
19,retailer,['Equatorial Guinea' 'Região Insular' 'vendor' 421 list([]) 5 4 1559544]
20,retailer,"['Brazil' 'Minas Gerais' 'abroad' 819 list(['Aerospace & Defense']) 4 2
 1401456]"
21,retailer,['Jamaica' 'Westmoreland' 'abroad' 882 list([]) 4 8 104875]
22,retailer,['Jordan' 'Al ‘A̅şimah' 'customer end' 402 list([]) 2 7 1880010]
23,retailer,['Malaysia' 'Johor' 'distributer' 738 list([]) 4 9 124498]
24,retailer,['Cabo Verde' 'Ribeira Grande' 'distributer' 353 list([]) 4 7 1761624]
25,retailer,['Guinea' 'Gaoual' 'distributer' 279 list([]) 1 5 715465]
26,retailer,['French Polynesia' 'Unknown' 'customer end' 488 list([]) 1 1 1202212]
27,retailer,"['North Macedonia' 'Brvenica' 'abroad' 860 list(['Life Sciences']) 3 9
 1893264]"
28,retailer,"['Greece' 'Anatolikí Makedonía kai Thráki' 'vendor' 455 list([]) 4 2
 1085603]"
29,retailer,"['Ireland' 'Munster' 'vendor' 721 list(['Aerospace & Defense']) 5 8
 1951557]"
30,retailer,"['Iran, Islamic Republic of' 'Kohgīlūyeh va Bowyer Aḩmad' 'distributer'
 747 list([]) 5 4 819022]"
31,retailer,['Oman' 'Al Wusţá' 'distributer' 356 list([]) 3 9 814119]
32,retailer,['French Polynesia' 'Unknown' 'customer end' 535 list([]) 5 6 987153]
33,retailer,"['Congo, The Democratic Republic of the' 'Tshuapa' 'customer end' 125
 list(['Electric Power & Natural Gas']) 1 1 1606404]"
34,retailer,"['Sweden' 'Gävleborgs län [SE-21]' 'abroad' 660
 list(['Public & Social Sector']) 3 5 1031212]"
35,retailer,['South Sudan' 'Central Equatoria' 'abroad' 377 list([]) 1 2 1653851]
36,retailer,"['Micronesia, Federated States of' 'Chuuk' 'abroad' 749 list([]) 1 4 92910]"
37,retailer,['Norfolk Island' 'Unknown' 'vendor' 854 list([]) 2 9 1923235]
