,index,sourceNodeName,targetNodeName,totalCost,isDirect,costs,nodeNames
0,10,Supplier 65468,Supplier 72315,158.0,,"[0.0, 94.0, 158.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315']"
1,11,Supplier 65468,Supplier 71574,170.0,,"[0.0, 100.0, 170.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574']"
2,12,Supplier 65468,Supplier 87916,170.0,,"[0.0, 100.0, 170.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916']"
3,13,Supplier 65468,Supplier 16265,170.0,,"[0.0, 100.0, 170.0]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265']"
4,14,Supplier 65468,Supplier 87695,185.0,,"[0.0, 100.0, 185.0]","['Supplier 65468', 'Ssintship 10023', 'Supplier 87695']"
5,15,Supplier 65468,Supplier 48580,185.0,,"[0.0, 100.0, 185.0]","['Supplier 65468', 'Ssintship 10007', 'Supplier 48580']"
6,17,Supplier 65468,Supplier 46070,190.0,,"[0.0, 100.0, 190.0]","['Supplier 65468', 'Ssintship 10421', 'Supplier 46070']"
7,22,Supplier 65468,Supplier 68814,190.0,,"[0.0, 100.0, 170.0, 195.0, 190.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814']"
8,53,Supplier 65468,Supplier 51293,269.5,,"[0.0, 100.0, 170.0, 227.25, 269.5]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 10256', 'Supplier 51293']"
9,109,Supplier 65468,Retailer 31857,309.0,,"[0.0, 100.0, 170.0, 195.0, 190.0, 249.5, 309.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814', 'Srintship 3521', 'Retailer 31857']"
10,112,Supplier 65468,Supplier 77743,328.0,,"[0.0, 94.0, 158.0, 258.0, 328.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Ssintship 4496', 'Supplier 77743']"
11,113,Supplier 65468,Supplier 10161,328.0,,"[0.0, 94.0, 158.0, 258.0, 328.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Ssintship 10094', 'Supplier 10161']"
12,115,Supplier 65468,Supplier 13951,340.0,,"[0.0, 100.0, 170.0, 270.0, 340.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 10440', 'Supplier 13951']"
13,116,Supplier 65468,Supplier 61565,340.0,,"[0.0, 100.0, 170.0, 270.0, 340.0]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 10329', 'Supplier 61565']"
14,117,Supplier 65468,Supplier 13920,340.0,,"[0.0, 100.0, 170.0, 270.0, 340.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10434', 'Supplier 13920']"
15,118,Supplier 65468,Supplier 76443,343.0,,"[0.0, 94.0, 158.0, 258.0, 343.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Ssintship 10073', 'Supplier 76443']"
16,119,Supplier 65468,Supplier 26533,343.0,,"[0.0, 94.0, 158.0, 258.0, 343.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Ssintship 10170', 'Supplier 26533']"
17,121,Supplier 65468,Supplier 14125,353.0,,"[0.0, 100.0, 170.0, 269.0, 353.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 10159', 'Supplier 14125']"
18,122,Supplier 65468,Supplier 70443,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 10447', 'Supplier 70443']"
19,123,Supplier 65468,Supplier 30692,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 3477', 'Supplier 30692']"
20,124,Supplier 65468,Supplier 24451,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 10102', 'Supplier 24451']"
21,125,Supplier 65468,Supplier 18952,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 2663', 'Supplier 18952']"
22,126,Supplier 65468,Supplier 24646,355.0,,"[0.0, 100.0, 185.0, 285.0, 355.0]","['Supplier 65468', 'Ssintship 10007', 'Supplier 48580', 'Ssintship 10100', 'Supplier 24646']"
23,127,Supplier 65468,Supplier 54148,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Ssintship 10227', 'Supplier 87916', 'Ssintship 10149', 'Supplier 54148']"
24,128,Supplier 65468,Supplier 43691,355.0,,"[0.0, 100.0, 170.0, 270.0, 355.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 7072', 'Supplier 43691']"
25,129,Supplier 65468,Supplier 46894,355.0,,"[0.0, 100.0, 185.0, 285.0, 355.0]","['Supplier 65468', 'Ssintship 10023', 'Supplier 87695', 'Ssintship 10397', 'Supplier 46894']"
26,130,Supplier 65468,Supplier 35841,355.0,,"[0.0, 100.0, 185.0, 285.0, 355.0]","['Supplier 65468', 'Ssintship 10023', 'Supplier 87695', 'Internaltransactions 4327', 'Supplier 35841']"
27,131,Supplier 65468,Retailer 90349,358.0,,"[0.0, 94.0, 158.0, 258.0, 358.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Srintship 3089', 'Retailer 90349']"
28,136,Supplier 65468,Retailer 40164,358.0,,"[0.0, 94.0, 158.0, 258.0, 358.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Srintship 9766', 'Retailer 40164']"
29,137,Supplier 65468,Retailer 25889,358.0,,"[0.0, 94.0, 158.0, 258.0, 358.0]","['Supplier 65468', 'Ssintship 6881', 'Supplier 72315', 'Srintship 1851', 'Retailer 25889']"
30,143,Supplier 65468,Supplier 46942,360.0,,"[0.0, 100.0, 170.0, 270.0, 360.0]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 8070', 'Supplier 46942']"
31,144,Supplier 65468,Supplier 97142,360.0,,"[0.0, 100.0, 170.0, 195.0, 190.0, 290.0, 360.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814', 'Ssintship 4906', 'Supplier 97142']"
32,145,Supplier 65468,Supplier 71597,360.0,,"[0.0, 100.0, 190.0, 290.0, 360.0]","['Supplier 65468', 'Ssintship 10421', 'Supplier 46070', 'Ssintship 10457', 'Supplier 71597']"
33,146,Supplier 65468,Supplier 13283,360.0,,"[0.0, 100.0, 190.0, 290.0, 360.0]","['Supplier 65468', 'Ssintship 10421', 'Supplier 46070', 'Ssintship 10267', 'Supplier 13283']"
34,149,Supplier 65468,Supplier 10731,360.0,,"[0.0, 100.0, 170.0, 195.0, 190.0, 290.0, 360.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814', 'Ssintship 2914', 'Supplier 10731']"
35,150,Supplier 65468,Supplier 27057,360.0,,"[0.0, 100.0, 170.0, 270.0, 360.0]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 10428', 'Supplier 27057']"
36,151,Supplier 65468,Supplier 30864,360.0,,"[0.0, 100.0, 170.0, 195.0, 190.0, 290.0, 360.0]","['Supplier 65468', 'Internaltransactions 1132', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814', 'Ssintship 10462', 'Supplier 30864']"
37,175,Supplier 65468,Customer 24998,370.0,,"[0.0, 100.0, 170.0, 270.0, 370.0]","['Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Scextship 8280', 'Customer 24998']"
