Label,ID,Attributes
products,911,"{'product_type': 'M', 'product_name': 'WWW', 'price': 3088.68, 'profit_margin (%)': 24, 'capacity': '[458278, 360033, 517373, 58753, 338847, 240964, 306385, 69561, 232849]', 'warehouses': '[5498, 6164, 5623, 7418, 8962, 7721, 4208, 8714, 1285]'}"
products,316,"{'product_type': 'F', 'product_name': 'MMM', 'price': 107.39, 'profit_margin (%)': 47, 'capacity': '[229566, 289179]', 'warehouses': '[3865, 5351]'}"
products,549,"{'product_type': 'P', 'product_name': 'LLL', 'price': 47.14, 'profit_margin (%)': 7, 'capacity': '[191108]', 'warehouses': '[1969]'}"
products,801,"{'product_type': 'V', 'product_name': 'SSS', 'price': 13.62, 'profit_margin (%)': 6, 'capacity': '[93325, 390915, 343313, 344152, 7235, 201677, 261302, 87644, 105561, 188720]', 'warehouses': '[3613, 4412, 2730, 1482, 2430, 7465, 8954, 1187, 8332, 4421]'}"
products,791,"{'product_type': 'R', 'product_name': 'AAA', 'price': 6.35, 'profit_margin (%)': 7, 'capacity': '[241296, 324495, 73846, 126237, 186131, 146602, 140231, 91324]', 'warehouses': '[3514, 9292, 9388, 6379, 1149, 1526, 6928, 1888]'}"
products,862,"{'product_type': 'Q', 'product_name': 'AAA', 'price': 394.56, 'profit_margin (%)': 22, 'capacity': '[340092, 274866, 195473, 94535, 322352, 533018, 453915, 268682, 793118, 285572]', 'warehouses': '[8327, 5961, 2538, 4167, 7451, 8950, 1417, 1149, 6507, 9023]'}"
products,255,"{'product_type': 'Y', 'product_name': 'MMM', 'price': 500.55, 'profit_margin (%)': 50, 'capacity': '[85242]', 'warehouses': '[7306]'}"
products,291,"{'product_type': 'W', 'product_name': 'FFF', 'price': 48.63, 'profit_margin (%)': 35, 'capacity': '[649185, 68697, 335105, 561684, 199065, 19157]', 'warehouses': '[2587, 5819, 7033, 4420, 3259, 7043]'}"
products,804,"{'product_type': 'H', 'product_name': 'HHH', 'price': 7.82, 'profit_margin (%)': 42, 'capacity': '[92150, 183188, 603670, 505612, 713314, 82385, 300579]', 'warehouses': '[9981, 1172, 7550, 2891, 7634, 4744, 3826]'}"
products,976,"{'product_type': 'R', 'product_name': 'YYY', 'price': 425.27, 'profit_margin (%)': 9, 'capacity': '[25694, 166049, 493273, 43644]', 'warehouses': '[7622, 5163, 2275, 1538]'}"
products,318,"{'product_type': 'Y', 'product_name': 'WWW', 'price': 278.88, 'profit_margin (%)': 11, 'capacity': '[66589, 273919, 179065, 370273, 174017, 29954, 295559, 115302, 189928]', 'warehouses': '[2855, 2689, 3238, 8035, 3112, 6229, 6869, 3638, 5886]'}"
products,663,"{'product_type': 'X', 'product_name': 'KKK', 'price': 877.77, 'profit_margin (%)': 37, 'capacity': '[309946]', 'warehouses': '[6859]'}"
products,304,"{'product_type': 'C', 'product_name': 'HHH', 'price': 446.51, 'profit_margin (%)': 22, 'capacity': '[538483]', 'warehouses': '[7094]'}"
products,523,"{'product_type': 'L', 'product_name': 'WWW', 'price': 2947.87, 'profit_margin (%)': 9, 'capacity': '[63703, 56703, 407318, 427780, 177574]', 'warehouses': '[7347, 1992, 3387, 3990, 4232]'}"
products,933,"{'product_type': 'D', 'product_name': 'CCC', 'price': 566.24, 'profit_margin (%)': 40, 'capacity': '[48565, 461321, 335760, 232229]', 'warehouses': '[7808, 7840, 3000, 9772]'}"
products,930,"{'product_type': 'Z', 'product_name': 'AAA', 'price': 7.42, 'profit_margin (%)': 47, 'capacity': '[50023, 213239, 113685, 439264, 823267, 402953]', 'warehouses': '[3661, 2329, 6173, 4408, 9403, 6833]'}"
products,474,"{'product_type': 'H', 'product_name': 'JJJ', 'price': 676.95, 'profit_margin (%)': 11, 'capacity': '[47448, 257059, 202250, 517934, 11214, 384293, 313181]', 'warehouses': '[2859, 8183, 3044, 7763, 3002, 5504, 8858]'}"
products,695,"{'product_type': 'B', 'product_name': 'WWW', 'price': 9.16, 'profit_margin (%)': 28, 'capacity': '[36143, 106248, 592523]', 'warehouses': '[8344, 8231, 5977]'}"
products,856,"{'product_type': 'Z', 'product_name': 'AAA', 'price': 83.85, 'profit_margin (%)': 18, 'capacity': '[239668, 5738, 62317, 285241, 7229, 554201, 20039, 225050]', 'warehouses': '[7898, 4420, 5842, 4014, 2969, 6434, 6694, 7212]'}"
products,542,"{'product_type': 'Y', 'product_name': 'YYY', 'price': 1733.76, 'profit_margin (%)': 47, 'capacity': '[173089, 140521]', 'warehouses': '[9030, 4693]'}"
products,181,"{'product_type': 'K', 'product_name': 'NNN', 'price': 7965.88, 'profit_margin (%)': 25, 'capacity': '[24799, 383213, 351013, 483525, 5246, 364336]', 'warehouses': '[3998, 2970, 5170, 7118, 2882, 5071]'}"
products,452,"{'product_type': 'I', 'product_name': 'MMM', 'price': 9.86, 'profit_margin (%)': 15, 'capacity': '[715682, 65789, 378688, 62662, 138204, 135264, 239885]', 'warehouses': '[1245, 4427, 3871, 2886, 7975, 4142, 3225]'}"
products,952,"{'product_type': 'H', 'product_name': 'PPP', 'price': 2613.16, 'profit_margin (%)': 23, 'capacity': '[49171, 510154, 444416, 231154, 120275, 163424, 291556]', 'warehouses': '[1034, 5754, 1945, 2077, 1442, 9753, 8344]'}"
products,162,"{'product_type': 'N', 'product_name': 'HHH', 'price': 5.97, 'profit_margin (%)': 32, 'capacity': '[323305, 577171]', 'warehouses': '[6915, 7992]'}"
products,134,"{'product_type': 'R', 'product_name': 'TTT', 'price': 6.67, 'profit_margin (%)': 21, 'capacity': '[233085, 208390, 249966, 532220]', 'warehouses': '[4522, 8344, 7038, 7033]'}"
products,771,"{'product_type': 'P', 'product_name': 'III', 'price': 7.94, 'profit_margin (%)': 40, 'capacity': '[949323, 229471, 185259]', 'warehouses': '[4677, 7895, 4317]'}"
products,827,"{'product_type': 'I', 'product_name': 'JJJ', 'price': 136.7, 'profit_margin (%)': 5, 'capacity': '[363192, 253686, 21459]', 'warehouses': '[4027, 3267, 8399]'}"
products,992,"{'product_type': 'X', 'product_name': 'RRR', 'price': 7524.44, 'profit_margin (%)': 26, 'capacity': '[162907]', 'warehouses': '[5820]'}"
products,647,"{'product_type': 'J', 'product_name': 'JJJ', 'price': 86.44, 'profit_margin (%)': 11, 'capacity': '[181218, 249576, 95806, 271661, 107587, 263963, 358586, 44175]', 'warehouses': '[7117, 7451, 2301, 9695, 2936, 7408, 4607, 3532]'}"
products,671,"{'product_type': 'Z', 'product_name': 'FFF', 'price': 3.39, 'profit_margin (%)': 7, 'capacity': '[137532]', 'warehouses': '[2275]'}"
products,988,"{'product_type': 'N', 'product_name': 'JJJ', 'price': 1514.69, 'profit_margin (%)': 25, 'capacity': '[650843, 242466, 162159, 208144, 614970, 857262, 117854]', 'warehouses': '[3841, 2448, 6265, 9426, 8858, 6379, 9359]'}"
products,699,"{'product_type': 'G', 'product_name': 'OOO', 'price': 9.24, 'profit_margin (%)': 35, 'capacity': '[150398, 757666, 164714, 8641, 342655, 624643, 129113, 109385, 167657, 236150]', 'warehouses': '[5330, 3573, 4371, 2183, 4496, 3074, 6895, 9224, 5736, 7033]'}"
products,656,"{'product_type': 'U', 'product_name': 'DDD', 'price': 71.66, 'profit_margin (%)': 48, 'capacity': '[21426, 343631, 215753, 103875, 77464]', 'warehouses': '[7483, 4695, 2666, 8488, 9888]'}"
products,745,"{'product_type': 'B', 'product_name': 'WWW', 'price': 4542.84, 'profit_margin (%)': 45, 'capacity': '[37809, 218362, 375527, 479494, 307364, 65011]', 'warehouses': '[3031, 3553, 2970, 9247, 4094, 1085]'}"
products,183,"{'product_type': 'M', 'product_name': 'WWW', 'price': 437.31, 'profit_margin (%)': 31, 'capacity': '[167551, 646205, 511302, 367676, 864183, 372143, 93446, 221390]', 'warehouses': '[8349, 1704, 7425, 4967, 9926, 3893, 3692, 7664]'}"
products,124,"{'product_type': 'Q', 'product_name': 'RRR', 'price': 989.73, 'profit_margin (%)': 46, 'capacity': '[203189, 86655, 541532, 205339, 63229, 277935, 489700, 395395]', 'warehouses': '[4458, 3600, 5181, 4939, 1442, 7103, 1575, 5812]'}"
products,616,"{'product_type': 'A', 'product_name': 'AAA', 'price': 8603.43, 'profit_margin (%)': 49, 'capacity': '[255247, 613006, 85660, 335719, 312581, 377434, 880443, 276440, 405316]', 'warehouses': '[5089, 7953, 1837, 2066, 1754, 1623, 6379, 3673, 4237]'}"
products,120,"{'product_type': 'C', 'product_name': 'NNN', 'price': 902.34, 'profit_margin (%)': 19, 'capacity': '[35584, 488290, 129275, 648531, 429218, 383186, 42044, 233732, 280955, 227378]', 'warehouses': '[2894, 2632, 7926, 1882, 4421, 9272, 5736, 8892, 3456, 4045]'}"
products,890,"{'product_type': 'W', 'product_name': 'EEE', 'price': 21.58, 'profit_margin (%)': 40, 'capacity': '[38878, 80768, 147151, 297571, 515074]', 'warehouses': '[9387, 1258, 3882, 9272, 6858]'}"
products,709,"{'product_type': 'W', 'product_name': 'JJJ', 'price': 50.48, 'profit_margin (%)': 41, 'capacity': '[269153, 520535, 258953, 24970, 175758, 677447, 49763, 212559]', 'warehouses': '[1915, 3972, 4397, 2882, 9610, 3401, 6960, 3856]'}"
products,833,"{'product_type': 'A', 'product_name': 'OOO', 'price': 717.15, 'profit_margin (%)': 27, 'capacity': '[175362, 291714, 454327, 17516, 416608, 498127, 469044, 213502, 233203, 399643]', 'warehouses': '[1716, 6507, 2244, 9970, 2730, 4650, 6362, 2294, 5177, 8954]'}"
products,684,"{'product_type': 'K', 'product_name': 'WWW', 'price': 2.73, 'profit_margin (%)': 34, 'capacity': '[200327, 126548, 329671, 472931, 574687, 355209, 161054]', 'warehouses': '[6482, 4197, 2797, 1169, 2448, 6165, 3046]'}"
products,525,"{'product_type': 'O', 'product_name': 'TTT', 'price': 316.69, 'profit_margin (%)': 34, 'capacity': '[469489, 219262, 245878, 96369, 511634]', 'warehouses': '[2930, 4099, 2125, 9043, 9304]'}"
products,928,"{'product_type': 'G', 'product_name': 'HHH', 'price': 1597.42, 'profit_margin (%)': 22, 'capacity': '[154249]', 'warehouses': '[9888]'}"
products,864,"{'product_type': 'Y', 'product_name': 'AAA', 'price': 4184.31, 'profit_margin (%)': 31, 'capacity': '[269410, 288063]', 'warehouses': '[9426, 7945]'}"
products,283,"{'product_type': 'D', 'product_name': 'JJJ', 'price': 36.33, 'profit_margin (%)': 13, 'capacity': '[175059, 48103, 39622, 48522, 62682, 133860, 508282, 470201, 420102, 255580]', 'warehouses': '[6229, 7286, 2199, 8450, 1707, 2714, 8820, 3921, 9190, 3954]'}"
products,586,"{'product_type': 'J', 'product_name': 'SSS', 'price': 5.92, 'profit_margin (%)': 14, 'capacity': '[343659, 314686, 80908, 247641, 427208, 141983]', 'warehouses': '[4785, 6853, 4374, 3267, 3577, 6219]'}"
products,900,"{'product_type': 'G', 'product_name': 'YYY', 'price': 82.61, 'profit_margin (%)': 6, 'capacity': '[30383]', 'warehouses': '[3688]'}"
products,921,"{'product_type': 'H', 'product_name': 'VVV', 'price': 5946.14, 'profit_margin (%)': 25, 'capacity': '[121983, 539361, 416238, 642320, 859787, 138892, 264399, 308642]', 'warehouses': '[3532, 6724, 7525, 7611, 9241, 3882, 2231, 5094]'}"
products,200,"{'product_type': 'T', 'product_name': 'HHH', 'price': 501.72, 'profit_margin (%)': 38, 'capacity': '[232858, 332414, 180012, 723356, 10225, 291661]', 'warehouses': '[8534, 9610, 6198, 2481, 7382, 2321]'}"
products,158,"{'product_type': 'C', 'product_name': 'UUU', 'price': 8.23, 'profit_margin (%)': 25, 'capacity': '[234157, 531820, 111369, 18582]', 'warehouses': '[6492, 5013, 4204, 4515]'}"
products,141,"{'product_type': 'K', 'product_name': 'UUU', 'price': 5839.35, 'profit_margin (%)': 48, 'capacity': '[203990, 37093, 37775, 71344, 96871, 485806, 436743]', 'warehouses': '[7306, 2032, 8732, 4939, 9426, 9781, 2012]'}"
products,572,"{'product_type': 'K', 'product_name': 'AAA', 'price': 1.66, 'profit_margin (%)': 24, 'capacity': '[36457, 79892]', 'warehouses': '[2708, 4607]'}"
products,767,"{'product_type': 'Q', 'product_name': 'III', 'price': 99.72, 'profit_margin (%)': 6, 'capacity': '[740126, 202044, 215457, 767779, 77585, 621756, 278396]', 'warehouses': '[5383, 7959, 8551, 2821, 3459, 3350, 9975]'}"
products,780,"{'product_type': 'G', 'product_name': 'III', 'price': 68.57, 'profit_margin (%)': 48, 'capacity': '[267256, 55286, 80299, 120763]', 'warehouses': '[8327, 8620, 7248, 8169]'}"
products,457,"{'product_type': 'B', 'product_name': 'YYY', 'price': 5.75, 'profit_margin (%)': 24, 'capacity': '[216296, 187998, 504591, 105482, 376026, 276790, 518936]', 'warehouses': '[1835, 7339, 8231, 8452, 2664, 5464, 9247]'}"
products,744,"{'product_type': 'F', 'product_name': 'ZZZ', 'price': 61.55, 'profit_margin (%)': 17, 'capacity': '[75101, 71904, 148815, 400097]', 'warehouses': '[7673, 4849, 3493, 9388]'}"
products,135,"{'product_type': 'J', 'product_name': 'OOO', 'price': 282.92, 'profit_margin (%)': 33, 'capacity': '[41340, 341226, 587252, 261723]', 'warehouses': '[2805, 2176, 7103, 2116]'}"
products,575,"{'product_type': 'G', 'product_name': 'PPP', 'price': 13.74, 'profit_margin (%)': 45, 'capacity': '[58383, 624986, 350761, 800865, 72134, 288481, 278370]', 'warehouses': '[7400, 8370, 6307, 2670, 3591, 7774, 7498]'}"
products,962,"{'product_type': 'U', 'product_name': 'UUU', 'price': 8558.34, 'profit_margin (%)': 28, 'capacity': '[282637, 192051, 151772, 453730, 269095, 208928, 628633, 625438, 222658]', 'warehouses': '[3069, 2729, 1226, 8366, 2481, 8958, 5143, 6161, 5256]'}"
products,609,"{'product_type': 'A', 'product_name': 'AAA', 'price': 2.33, 'profit_margin (%)': 49, 'capacity': '[440538]', 'warehouses': '[7878]'}"
products,365,"{'product_type': 'I', 'product_name': 'OOO', 'price': 204.67, 'profit_margin (%)': 15, 'capacity': '[10108, 620614, 101379, 114411, 495797, 550028, 438122, 40391, 196981, 78360]', 'warehouses': '[6349, 7774, 8096, 7581, 3730, 2930, 8124, 3853, 1464, 9867]'}"
products,929,"{'product_type': 'M', 'product_name': 'WWW', 'price': 5541.45, 'profit_margin (%)': 26, 'capacity': '[32770, 251937, 30839, 306809, 115024, 110934]', 'warehouses': '[3031, 5812, 3118, 5241, 4408, 8050]'}"
products,369,"{'product_type': 'N', 'product_name': 'KKK', 'price': 892.99, 'profit_margin (%)': 41, 'capacity': '[41209, 363358, 78377, 122576]', 'warehouses': '[4876, 2930, 5650, 2454]'}"
products,981,"{'product_type': 'B', 'product_name': 'TTT', 'price': 7.19, 'profit_margin (%)': 42, 'capacity': '[732468, 308366, 181255, 49371, 578155]', 'warehouses': '[7158, 1993, 2252, 3259, 1653]'}"
products,169,"{'product_type': 'R', 'product_name': 'OOO', 'price': 52.41, 'profit_margin (%)': 32, 'capacity': '[536768, 657431, 83871, 644652, 370969, 522976]', 'warehouses': '[6100, 7377, 6349, 4047, 3855, 2647]'}"
products,582,"{'product_type': 'R', 'product_name': 'TTT', 'price': 7.73, 'profit_margin (%)': 18, 'capacity': '[41901, 345832]', 'warehouses': '[7451, 4518]'}"
products,113,"{'product_type': 'Z', 'product_name': 'HHH', 'price': 4921.76, 'profit_margin (%)': 37, 'capacity': '[106799, 230027, 453152, 449200, 405272, 176775, 28229, 38829, 44645, 323360]', 'warehouses': '[4412, 9926, 5253, 9565, 1835, 3221, 7975, 1258, 4421, 1274]'}"
products,114,"{'product_type': 'H', 'product_name': 'PPP', 'price': 5705.18, 'profit_margin (%)': 28, 'capacity': '[265312, 62640, 229736, 473585]', 'warehouses': '[9174, 7402, 5879, 6731]'}"
products,335,"{'product_type': 'B', 'product_name': 'LLL', 'price': 7.83, 'profit_margin (%)': 39, 'capacity': '[190625, 411032]', 'warehouses': '[3309, 4412]'}"
products,415,"{'product_type': 'W', 'product_name': 'EEE', 'price': 212.3, 'profit_margin (%)': 34, 'capacity': '[726470, 140283, 413455]', 'warehouses': '[1810, 3994, 7839]'}"
products,171,"{'product_type': 'J', 'product_name': 'CCC', 'price': 62.73, 'profit_margin (%)': 45, 'capacity': '[608872, 461356, 333960, 360542, 243763]', 'warehouses': '[3261, 2091, 2821, 5653, 5299]'}"
products,430,"{'product_type': 'M', 'product_name': 'ZZZ', 'price': 6216.4, 'profit_margin (%)': 48, 'capacity': '[253813, 175990, 668467, 667475, 488238, 276581, 80693, 369913]', 'warehouses': '[5381, 4649, 8084, 4650, 9778, 1407, 4876, 6052]'}"
products,475,"{'product_type': 'J', 'product_name': 'VVV', 'price': 9155.62, 'profit_margin (%)': 44, 'capacity': '[23622, 46098, 284527]', 'warehouses': '[2683, 2822, 3276]'}"
products,975,"{'product_type': 'D', 'product_name': 'BBB', 'price': 87.14, 'profit_margin (%)': 36, 'capacity': '[46249, 137856, 172775]', 'warehouses': '[9115, 2033, 1915]'}"
products,242,"{'product_type': 'L', 'product_name': 'OOO', 'price': 9051.53, 'profit_margin (%)': 28, 'capacity': '[815879, 84311, 516370, 195974, 672349, 316783, 312861, 117301]', 'warehouses': '[5294, 9224, 2266, 5688, 7068, 9781, 6100, 6062]'}"
products,679,"{'product_type': 'O', 'product_name': 'JJJ', 'price': 2029.17, 'profit_margin (%)': 42, 'capacity': '[34438, 677702, 108806, 287655, 309872, 273718, 490097, 694514]', 'warehouses': '[4501, 1832, 2855, 4175, 5812, 2722, 6277, 3525]'}"
products,628,"{'product_type': 'T', 'product_name': 'QQQ', 'price': 95.24, 'profit_margin (%)': 35, 'capacity': '[28154, 66452, 202918, 54020]', 'warehouses': '[9872, 7248, 1938, 2937]'}"
products,576,"{'product_type': 'K', 'product_name': 'UUU', 'price': 103.33, 'profit_margin (%)': 25, 'capacity': '[473820, 495790, 144301, 210877, 150560, 867374]', 'warehouses': '[5241, 7634, 2304, 5970, 4371, 1245]'}"
products,484,"{'product_type': 'R', 'product_name': 'WWW', 'price': 9.16, 'profit_margin (%)': 11, 'capacity': '[184216, 664689, 168868, 431252, 512558, 546695, 678149, 173353]', 'warehouses': '[2199, 2252, 2865, 7033, 2891, 3219, 1784, 4697]'}"
products,145,"{'product_type': 'X', 'product_name': 'EEE', 'price': 568.27, 'profit_margin (%)': 35, 'capacity': '[807965, 111020]', 'warehouses': '[3760, 4640]'}"
products,326,"{'product_type': 'F', 'product_name': 'NNN', 'price': 1005.56, 'profit_margin (%)': 9, 'capacity': '[34949, 151038, 377551, 884708, 120582, 57327, 348269, 216538, 33352, 114229]', 'warehouses': '[5688, 3243, 9376, 4132, 5623, 5647, 7196, 1012, 7498, 4496]'}"
products,774,"{'product_type': 'M', 'product_name': 'GGG', 'price': 373.4, 'profit_margin (%)': 9, 'capacity': '[27286, 17106, 187637, 276959, 162312, 694619, 392484, 82962, 340914]', 'warehouses': '[8359, 4876, 1274, 4300, 4963, 5977, 3609, 5355, 2468]'}"
products,883,"{'product_type': 'O', 'product_name': 'KKK', 'price': 70.7, 'profit_margin (%)': 5, 'capacity': '[28395, 369876, 80334, 8511, 59591, 462170, 451043, 281281, 72936]', 'warehouses': '[6443, 9957, 9557, 5492, 8450, 5515, 8218, 9741, 9941]'}"
