,name,followers
0,Supplier 51293,38.0
1,Supplier 24646,33.0
2,Supplier 24451,32.0
3,Supplier 87695,30.0
4,Supplier 52082,29.0
5,Supplier 55441,28.0
6,Supplier 54148,28.0
7,Supplier 13951,26.0
8,Supplier 94512,25.0
9,Supplier 81423,25.0
10,Supplier 76443,25.0
11,Supplier 71574,25.0
12,Supplier 61565,25.0
13,Supplier 87916,24.0
14,Supplier 65468,24.0
15,Supplier 30864,24.0
16,Supplier 13920,24.0
17,Supplier 72315,23.0
18,Supplier 70468,23.0
19,Supplier 68814,23.0
20,Supplier 46070,23.0
21,Supplier 43284,23.0
22,Supplier 18952,23.0
23,Supplier 14125,23.0
24,Supplier 90942,22.0
25,Supplier 26533,22.0
26,Supplier 11283,22.0
27,Supplier 46894,21.0
28,Supplier 40597,20.0
29,Supplier 10161,20.0
30,Supplier 75444,19.0
31,Supplier 29277,19.0
32,Supplier 99762,18.0
33,Supplier 36243,18.0
34,Supplier 74432,17.0
35,Supplier 30692,17.0
36,Supplier 71916,16.0
37,Supplier 21232,16.0
38,Supplier 11790,16.0
39,Supplier 97142,15.0
40,Supplier 70443,15.0
41,Supplier 55787,15.0
42,Supplier 48580,15.0
43,Supplier 13283,15.0
44,Supplier 92698,14.0
45,Supplier 42179,14.0
46,Supplier 35841,14.0
47,Supplier 27057,14.0
48,Supplier 21166,14.0
49,Supplier 19878,14.0
50,Supplier 90236,13.0
51,Supplier 82144,13.0
52,Supplier 57109,13.0
53,Supplier 48467,13.0
54,Supplier 46204,13.0
55,Supplier 43691,13.0
56,Supplier 43160,13.0
57,Supplier 36985,13.0
58,Supplier 36417,13.0
59,Supplier 23640,13.0
60,Supplier 16265,13.0
61,Supplier 10731,13.0
62,Supplier 96293,12.0
63,Supplier 71597,12.0
64,Supplier 46942,12.0
65,Supplier 34967,12.0
66,Supplier 19072,12.0
67,Supplier 15367,12.0
68,Supplier 13362,12.0
69,Supplier 71819,11.0
70,Supplier 42091,11.0
71,Supplier 40898,11.0
72,Supplier 11186,11.0
73,Supplier 99869,10.0
74,Supplier 99559,10.0
75,Supplier 99101,10.0
76,Supplier 99068,10.0
77,Supplier 99057,10.0
78,Supplier 98981,10.0
79,Supplier 97749,10.0
80,Supplier 96448,10.0
81,Supplier 95496,10.0
82,Supplier 94877,10.0
83,Supplier 94574,10.0
84,Supplier 93778,10.0
85,Supplier 93661,10.0
86,Supplier 93032,10.0
87,Supplier 92416,10.0
88,Supplier 91409,10.0
89,Supplier 91265,10.0
90,Supplier 90700,10.0
91,Supplier 90456,10.0
92,Supplier 90272,10.0
93,Supplier 90256,10.0
94,Supplier 90059,10.0
95,Supplier 89745,10.0
96,Supplier 88882,10.0
97,Supplier 88025,10.0
98,Supplier 87209,10.0
99,Supplier 86494,10.0
100,Supplier 85924,10.0
101,Supplier 85572,10.0
102,Supplier 85351,10.0
103,Supplier 85116,10.0
104,Supplier 84844,10.0
105,Supplier 83468,10.0
106,Supplier 83444,10.0
107,Supplier 83378,10.0
108,Supplier 82768,10.0
109,Supplier 81678,10.0
110,Supplier 81548,10.0
111,Supplier 81114,10.0
112,Supplier 81099,10.0
113,Supplier 81015,10.0
114,Supplier 80991,10.0
115,Supplier 80737,10.0
116,Supplier 80325,10.0
117,Supplier 79806,10.0
118,Supplier 79479,10.0
119,Supplier 78843,10.0
120,Supplier 78265,10.0
121,Supplier 77743,10.0
122,Supplier 77683,10.0
123,Supplier 77347,10.0
124,Supplier 77332,10.0
125,Supplier 77189,10.0
126,Supplier 76088,10.0
127,Supplier 76020,10.0
128,Supplier 75772,10.0
129,Supplier 75613,10.0
130,Supplier 75581,10.0
131,Supplier 75482,10.0
132,Supplier 75434,10.0
133,Supplier 74660,10.0
134,Supplier 74318,10.0
135,Supplier 73593,10.0
136,Supplier 73575,10.0
137,Supplier 73487,10.0
138,Supplier 73431,10.0
139,Supplier 72867,10.0
140,Supplier 72631,10.0
141,Supplier 72157,10.0
142,Supplier 71349,10.0
143,Supplier 71339,10.0
144,Supplier 70892,10.0
145,Supplier 70869,10.0
146,Supplier 69229,10.0
147,Supplier 69142,10.0
148,Supplier 69003,10.0
149,Supplier 68800,10.0
150,Supplier 68562,10.0
151,Supplier 68498,10.0
152,Supplier 68357,10.0
153,Supplier 68177,10.0
154,Supplier 68120,10.0
155,Supplier 68081,10.0
156,Supplier 67421,10.0
157,Supplier 67411,10.0
158,Supplier 67018,10.0
159,Supplier 66206,10.0
160,Supplier 65285,10.0
161,Supplier 65204,10.0
162,Supplier 64604,10.0
163,Supplier 64580,10.0
164,Supplier 64251,10.0
165,Supplier 63322,10.0
166,Supplier 63319,10.0
167,Supplier 63113,10.0
168,Supplier 61874,10.0
169,Supplier 61603,10.0
170,Supplier 61570,10.0
171,Supplier 61433,10.0
172,Supplier 60591,10.0
173,Supplier 60393,10.0
174,Supplier 60009,10.0
