,From,To,From_Table,To_Table,Weight,Distance,Edge_Name
0,1484,1600,Supplier,Externaltransactions,100,,externaltransactions
1,1600,140,Externaltransactions,Customer,100,,externaltransactions
2,1426,1601,Supplier,Externaltransactions,100,,externaltransactions
3,1601,72,Externaltransactions,Customer,100,,externaltransactions
4,1465,1602,Supplier,Externaltransactions,100,,externaltransactions
5,1602,2,Externaltransactions,Customer,100,,externaltransactions
6,1374,1603,Supplier,Externaltransactions,100,,externaltransactions
7,1603,137,Externaltransactions,Customer,100,,externaltransactions
8,1475,1604,Supplier,Externaltransactions,100,,externaltransactions
9,1604,92,Externaltransactions,Customer,100,,externaltransactions
10,1335,1605,Supplier,Externaltransactions,100,,externaltransactions
11,1605,56,Externaltransactions,Customer,100,,externaltransactions
12,1459,1606,Supplier,Externaltransactions,100,,externaltransactions
13,1606,43,Externaltransactions,Customer,100,,externaltransactions
14,1389,1607,Supplier,Externaltransactions,100,,externaltransactions
15,1607,18,Externaltransactions,Customer,100,,externaltransactions
16,1363,1608,Supplier,Externaltransactions,100,,externaltransactions
17,1608,35,Externaltransactions,Customer,100,,externaltransactions
18,1374,1609,Supplier,Externaltransactions,100,,externaltransactions
19,1609,142,Externaltransactions,Customer,100,,externaltransactions
20,1350,1610,Supplier,Externaltransactions,100,,externaltransactions
21,1610,116,Externaltransactions,Customer,100,,externaltransactions
22,1599,1611,Supplier,Externaltransactions,100,,externaltransactions
23,1611,88,Externaltransactions,Customer,100,,externaltransactions
24,1459,1612,Supplier,Externaltransactions,100,,externaltransactions
25,1612,104,Externaltransactions,Customer,100,,externaltransactions
26,1503,1613,Supplier,Externaltransactions,100,,externaltransactions
27,1613,37,Externaltransactions,Customer,100,,externaltransactions
28,1311,1614,Supplier,Externaltransactions,100,,externaltransactions
29,1614,119,Externaltransactions,Customer,100,,externaltransactions
30,1571,1615,Supplier,Externaltransactions,100,,externaltransactions
31,1615,92,Externaltransactions,Customer,100,,externaltransactions
32,1348,1616,Supplier,Externaltransactions,100,,externaltransactions
33,1616,90,Externaltransactions,Customer,100,,externaltransactions
34,1462,1617,Supplier,Externaltransactions,100,,externaltransactions
35,1617,66,Externaltransactions,Customer,100,,externaltransactions
36,1426,1618,Supplier,Externaltransactions,100,,externaltransactions
37,1618,129,Externaltransactions,Customer,100,,externaltransactions
38,1321,1619,Supplier,Externaltransactions,100,,externaltransactions
39,1619,98,Externaltransactions,Customer,100,,externaltransactions
40,1308,1620,Supplier,Externaltransactions,100,,externaltransactions
41,1620,137,Externaltransactions,Customer,100,,externaltransactions
