,From_Node_ID,To_Node_ID,order/service
0,484,140,[]
1,426,72,"[{'ExtServ_id': 8658, 'placed_when': '1998-06-05', 'actual_date': '1998-06-27', 'expected_date': '1998-07-04', 'quota': 4.56, 'status': 'Processed'}]"
2,465,2,[]
3,374,137,[]
4,475,92,"[{'ExtServ_id': 7764, 'placed_when': '1973-08-29', 'actual_date': '1973-09-25', 'expected_date': '1973-09-22', 'quota': 2587.87, 'status': 'Pending'}]"
5,335,56,"[{'ExtServ_id': 8787, 'placed_when': '1979-05-28', 'actual_date': '1979-06-24', 'expected_date': '1979-06-07', 'quota': 813.77, 'status': 'Pending'}]"
6,459,43,"[{'ExtServ_id': 8396, 'placed_when': '2018-02-27', 'actual_date': '2018-03-25', 'expected_date': '2018-03-16', 'quota': 81.56, 'status': 'Pending'}, {'ExtServ_id': 9757, 'placed_when': '1990-02-14', 'actual_date': '1990-03-02', 'expected_date': '1990-03-09', 'quota': 78.64, 'status': 'Processed'}]"
7,389,18,"[{'ExtServ_id': 7477, 'placed_when': '1980-06-17', 'actual_date': '1980-07-07', 'expected_date': '1980-07-05', 'quota': 8.43, 'status': 'Pending'}, {'ExtServ_id': 8587, 'placed_when': '2018-05-08', 'actual_date': '2018-05-29', 'expected_date': '2018-05-19', 'quota': 4922.31, 'status': 'Pending'}, {'ExtServ_id': 7896, 'placed_when': '1995-12-26', 'actual_date': '1996-01-09', 'expected_date': '1996-01-15', 'quota': 5362.2, 'status': 'Processed'}]"
8,363,35,[]
9,374,142,"[{'ExtServ_id': 6958, 'placed_when': '1997-03-24', 'actual_date': '1997-04-20', 'expected_date': '1997-04-08', 'quota': 3648.86, 'status': 'Pending'}]"
10,350,116,"[{'ExtServ_id': 5224, 'placed_when': '1975-10-25', 'actual_date': '1975-11-22', 'expected_date': '1975-11-15', 'quota': 9319.79, 'status': 'Pending'}]"
11,599,88,[]
12,459,104,[]
13,503,37,"[{'ExtServ_id': 5246, 'placed_when': '1971-08-31', 'actual_date': '1971-09-21', 'expected_date': '1971-09-18', 'quota': 43.29, 'status': 'Pending'}, {'ExtServ_id': 2285, 'placed_when': '1998-06-01', 'actual_date': '1998-06-19', 'expected_date': '1998-06-19', 'quota': 933.11, 'status': 'Processed'}]"
14,311,119,"[{'ExtServ_id': 4230, 'placed_when': '2012-01-12', 'actual_date': '2012-01-28', 'expected_date': '2012-01-23', 'quota': 7.57, 'status': 'Pending'}, {'ExtServ_id': 1685, 'placed_when': '1986-08-27', 'actual_date': '1986-09-19', 'expected_date': '1986-09-15', 'quota': 57.65, 'status': 'Pending'}, {'ExtServ_id': 3022, 'placed_when': '1993-04-16', 'actual_date': '1993-05-04', 'expected_date': '1993-04-28', 'quota': 8875.93, 'status': 'Pending'}, {'ExtServ_id': 9270, 'placed_when': '2009-05-25', 'actual_date': '2009-06-23', 'expected_date': '2009-06-05', 'quota': 7782.59, 'status': 'Pending'}]"
15,571,92,"[{'ExtServ_id': 4832, 'placed_when': '1988-02-13', 'actual_date': '1988-03-07', 'expected_date': '1988-03-14', 'quota': 91.69, 'status': 'Processed'}]"
16,348,90,"[{'ExtServ_id': 1567, 'placed_when': '2001-10-02', 'actual_date': '2001-10-25', 'expected_date': '2001-10-23', 'quota': 4500.93, 'status': 'Pending'}, {'ExtServ_id': 1912, 'placed_when': '1982-12-04', 'actual_date': '1982-12-18', 'expected_date': '1982-12-24', 'quota': 9.66, 'status': 'Processed'}]"
17,462,66,[]
18,426,129,"[{'ExtServ_id': 1301, 'placed_when': '1994-10-07', 'actual_date': '1994-10-28', 'expected_date': '1994-10-19', 'quota': 324.29, 'status': 'Pending'}]"
19,321,98,"[{'ExtServ_id': 7227, 'placed_when': '2007-01-24', 'actual_date': '2007-02-08', 'expected_date': '2007-02-19', 'quota': 4241.45, 'status': 'Processed'}]"
20,308,137,"[{'ExtServ_id': 3091, 'placed_when': '2016-11-22', 'actual_date': '2016-12-12', 'expected_date': '2016-12-20', 'quota': 854.84, 'status': 'Processed'}]"
21,413,64,[]
22,347,49,"[{'ExtServ_id': 4810, 'placed_when': '1993-05-03', 'actual_date': '1993-05-14', 'expected_date': '1993-05-13', 'quota': 66.72, 'status': 'Pending'}]"
23,305,104,"[{'ExtServ_id': 2781, 'placed_when': '1974-01-30', 'actual_date': '1974-02-25', 'expected_date': '1974-02-24', 'quota': 61.82, 'status': 'Pending'}, {'ExtServ_id': 5671, 'placed_when': '1983-08-26', 'actual_date': '1983-09-21', 'expected_date': '1983-09-07', 'quota': 6.89, 'status': 'Pending'}, {'ExtServ_id': 3006, 'placed_when': '2017-07-16', 'actual_date': '2017-07-26', 'expected_date': '2017-08-08', 'quota': 4.15, 'status': 'Processed'}]"
24,374,124,[]
25,430,138,"[{'ExtServ_id': 5950, 'placed_when': '2013-02-17', 'actual_date': '2013-03-08', 'expected_date': '2013-03-08', 'quota': 521.39, 'status': 'Processed'}]"
26,425,23,"[{'ExtServ_id': 8478, 'placed_when': '1970-01-21', 'actual_date': '1970-02-17', 'expected_date': '1970-02-06', 'quota': 1.95, 'status': 'Pending'}, {'ExtServ_id': 8831, 'placed_when': '2013-09-27', 'actual_date': '2013-10-12', 'expected_date': '2013-10-26', 'quota': 78.81, 'status': 'Processed'}, {'ExtServ_id': 1789, 'placed_when': '2021-03-20', 'actual_date': '2021-04-17', 'expected_date': '2021-04-04', 'quota': 7.95, 'status': 'Pending'}]"
27,315,69,"[{'ExtServ_id': 8362, 'placed_when': '1974-07-26', 'actual_date': '1974-08-16', 'expected_date': '1974-08-18', 'quota': 195.74, 'status': 'Processed'}, {'ExtServ_id': 4239, 'placed_when': '1989-10-10', 'actual_date': '1989-11-03', 'expected_date': '1989-11-02', 'quota': 4651.76, 'status': 'Pending'}]"
28,488,50,"[{'ExtServ_id': 8279, 'placed_when': '1974-09-07', 'actual_date': '1974-09-25', 'expected_date': '1974-10-07', 'quota': 174.97, 'status': 'Processed'}]"
29,562,14,"[{'ExtServ_id': 2770, 'placed_when': '2005-01-23', 'actual_date': '2005-02-14', 'expected_date': '2005-02-08', 'quota': 711.78, 'status': 'Pending'}]"
30,530,145,"[{'ExtServ_id': 6354, 'placed_when': '2003-08-21', 'actual_date': '2003-09-06', 'expected_date': '2003-09-05', 'quota': 5.66, 'status': 'Pending'}]"
31,397,71,"[{'ExtServ_id': 6621, 'placed_when': '2006-06-04', 'actual_date': '2006-06-23', 'expected_date': '2006-06-23', 'quota': 86.11, 'status': 'Processed'}, {'ExtServ_id': 7963, 'placed_when': '2007-06-15', 'actual_date': '2007-06-30', 'expected_date': '2007-07-04', 'quota': 41.64, 'status': 'Processed'}]"
32,513,97,"[{'ExtServ_id': 7895, 'placed_when': '2005-01-04', 'actual_date': '2005-01-18', 'expected_date': '2005-01-28', 'quota': 32.48, 'status': 'Processed'}]"
33,575,139,[]
34,381,13,"[{'ExtServ_id': 2157, 'placed_when': '1985-04-29', 'actual_date': '1985-05-09', 'expected_date': '1985-05-24', 'quota': 7.87, 'status': 'Processed'}]"
35,509,37,"[{'ExtServ_id': 4673, 'placed_when': '1976-05-29', 'actual_date': '1976-06-12', 'expected_date': '1976-06-11', 'quota': 4.34, 'status': 'Pending'}]"
36,470,33,"[{'ExtServ_id': 8936, 'placed_when': '1996-10-25', 'actual_date': '1996-11-15', 'expected_date': '1996-11-24', 'quota': 4.52, 'status': 'Processed'}]"
37,530,147,"[{'ExtServ_id': 4501, 'placed_when': '2003-02-08', 'actual_date': '2003-02-22', 'expected_date': '2003-03-03', 'quota': 69.16, 'status': 'Processed'}]"
38,465,59,[]
39,588,104,"[{'ExtServ_id': 1354, 'placed_when': '2017-06-27', 'actual_date': '2017-07-07', 'expected_date': '2017-07-25', 'quota': 8.95, 'status': 'Processed'}]"
40,470,127,[]
41,564,75,"[{'ExtServ_id': 7768, 'placed_when': '1997-11-18', 'actual_date': '1997-11-30', 'expected_date': '1997-12-08', 'quota': 2685.21, 'status': 'Processed'}]"
42,490,102,[]
43,593,14,[]
44,351,131,[]
45,425,73,"[{'ExtServ_id': 7695, 'placed_when': '1988-06-02', 'actual_date': '1988-06-14', 'expected_date': '1988-06-21', 'quota': 1.6, 'status': 'Processed'}]"
46,539,41,[]
47,433,118,[]
48,531,2,[]
49,525,6,"[{'ExtServ_id': 6908, 'placed_when': '1971-09-13', 'actual_date': '1971-09-25', 'expected_date': '1971-10-02', 'quota': 30.86, 'status': 'Processed'}, {'ExtServ_id': 4843, 'placed_when': '2015-04-03', 'actual_date': '2015-04-28', 'expected_date': '2015-04-27', 'quota': 775.97, 'status': 'Pending'}, {'ExtServ_id': 3645, 'placed_when': '2007-09-08', 'actual_date': '2007-09-23', 'expected_date': '2007-09-19', 'quota': 82.39, 'status': 'Pending'}]"
50,465,48,"[{'ExtServ_id': 2522, 'placed_when': '2010-12-26', 'actual_date': '2011-01-16', 'expected_date': '2011-01-05', 'quota': 376.17, 'status': 'Pending'}]"
51,475,64,[]
52,579,105,"[{'ExtServ_id': 3031, 'placed_when': '2004-09-08', 'actual_date': '2004-09-22', 'expected_date': '2004-10-06', 'quota': 7.67, 'status': 'Processed'}, {'ExtServ_id': 5214, 'placed_when': '1995-10-11', 'actual_date': '1995-10-22', 'expected_date': '1995-11-07', 'quota': 5099.98, 'status': 'Processed'}]"
53,397,117,"[{'ExtServ_id': 2744, 'placed_when': '1970-01-17', 'actual_date': '1970-02-02', 'expected_date': '1970-02-06', 'quota': 8988.71, 'status': 'Processed'}]"
54,599,63,[]
55,599,101,[]
56,416,132,"[{'ExtServ_id': 5031, 'placed_when': '1983-02-24', 'actual_date': '1983-03-23', 'expected_date': '1983-03-22', 'quota': 4.19, 'status': 'Pending'}]"
