,From,To,From_Table,To_Table,Weight,Distance,Duration,Rental price,price,profit_margin (%),Annual_sales,Edge_Name,market_share (%)
0,484,1600,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
1,1600,140,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
2,426,1601,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
3,1601,72,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
4,465,1602,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
5,1602,2,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
6,374,1603,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
7,1603,137,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
8,475,1604,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
9,1604,92,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
10,335,1605,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
11,1605,56,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
12,459,1606,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
13,1606,43,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
14,389,1607,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
15,1607,18,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
16,363,1608,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
17,1608,35,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
18,374,1609,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
19,1609,142,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
20,350,1610,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
21,1610,116,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
22,599,1611,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
23,1611,88,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
24,459,1612,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
25,1612,104,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
26,503,1613,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
27,1613,37,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
28,311,1614,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
29,1614,119,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
30,571,1615,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
31,1615,92,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
32,348,1616,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
33,1616,90,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
34,462,1617,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
35,1617,66,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
36,426,1618,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
37,1618,129,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
38,321,1619,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
39,1619,98,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
40,308,1620,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
41,1620,137,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
42,413,1621,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
43,1621,64,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
44,347,1622,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
45,1622,49,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
46,305,1623,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
47,1623,104,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
48,374,1624,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
49,1624,124,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
50,430,1625,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
51,1625,138,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
52,425,1626,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
53,1626,23,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
54,315,1627,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
55,1627,69,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
56,488,1628,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
57,1628,50,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
58,562,1629,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
59,1629,14,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
60,530,1630,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
61,1630,145,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
62,397,1631,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
63,1631,71,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
64,513,1632,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
65,1632,97,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
66,575,1633,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
67,1633,139,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
68,381,1634,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
69,1634,13,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
70,509,1635,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
71,1635,37,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
72,470,1636,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
73,1636,33,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
74,530,1637,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
75,1637,147,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
76,465,1638,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
77,1638,59,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
78,588,1639,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
79,1639,104,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
80,470,1640,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
81,1640,127,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
82,564,1641,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
83,1641,75,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
84,490,1642,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
85,1642,102,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
86,593,1643,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
87,1643,14,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
88,351,1644,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
89,1644,131,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
90,425,1645,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
91,1645,73,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
92,539,1646,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
93,1646,41,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
94,433,1647,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
95,1647,118,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
96,531,1648,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
97,1648,2,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
98,525,1649,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
99,1649,6,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
100,465,1650,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
101,1650,48,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
102,475,1651,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
103,1651,64,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
104,579,1652,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
105,1652,105,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
106,397,1653,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
107,1653,117,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
108,599,1654,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
109,1654,63,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
110,599,1655,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
111,1655,101,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
112,416,1656,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
113,1656,132,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
114,406,1657,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
115,1657,144,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
116,363,1658,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
117,1658,96,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
118,559,1659,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
119,1659,117,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
120,527,1660,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
121,1660,17,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
122,414,1661,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
123,1661,142,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
124,465,1662,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
125,1662,36,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
126,433,1663,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
127,1663,34,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
128,580,1664,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
129,1664,104,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
130,462,1665,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
131,1665,80,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
132,356,1666,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
133,1666,126,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
134,389,1667,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
135,1667,115,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
136,375,1668,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
137,1668,126,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
138,372,1669,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
139,1669,70,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
140,488,1670,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
141,1670,88,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
142,468,1671,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
143,1671,53,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
144,593,1672,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
145,1672,82,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
146,348,1673,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
147,1673,124,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
148,379,1674,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
149,1674,95,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
150,424,1675,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
151,1675,130,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
152,540,1676,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
153,1676,149,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
154,404,1677,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
155,1677,2,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
156,508,1678,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
157,1678,30,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
158,508,1679,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
159,1679,2,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
160,546,1680,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
161,1680,101,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
162,397,1681,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
163,1681,147,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
164,347,1682,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
165,1682,85,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
166,406,1683,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
167,1683,64,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
168,426,1684,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
169,1684,147,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
170,435,1685,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
171,1685,39,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
172,430,1686,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
173,1686,117,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
174,546,1687,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
175,1687,134,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
176,424,1688,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
177,1688,37,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
178,513,1689,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
179,1689,42,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
180,459,1690,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
181,1690,59,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
182,319,1691,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
183,1691,95,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
184,471,1692,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
185,1692,14,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
186,411,1693,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
187,1693,126,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
188,424,1694,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
189,1694,113,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
190,559,1695,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
191,1695,119,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
192,527,1696,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
193,1696,35,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
194,458,1697,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
195,1697,110,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
196,330,1698,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
197,1698,39,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
198,559,1699,Supplier,Externaltransactions,3,0,0,0,0,0,0,externaltransactions,
199,1699,113,Externaltransactions,Customer,3,0,0,0,0,0,0,externaltransactions,
200,419,1700,Supplier,Internaltransactions,3,0,0,0,0,0,0,internaltransactions,
201,1700,459,Internaltransactions,Supplier,13,0,0,0,0,0,5.21,internaltransactions,40.0
202,474,1701,Supplier,Internaltransactions,13,0,0,0,0,0,0,internaltransactions,
203,1701,593,Internaltransactions,Supplier,23,0,0,0,0,0,4.46,internaltransactions,35.0
204,553,1702,Supplier,Internaltransactions,23,0,0,0,0,0,0,internaltransactions,
205,1702,546,Internaltransactions,Supplier,48,0,0,0,0,0,29.23,internaltransactions,70.0
206,503,1703,Supplier,Internaltransactions,48,0,0,0,0,0,0,internaltransactions,
207,1703,559,Internaltransactions,Supplier,73,0,0,0,0,0,19.24,internaltransactions,96.0
208,397,1704,Supplier,Internaltransactions,73,0,0,0,0,0,0,internaltransactions,
209,1704,562,Internaltransactions,Supplier,83,0,0,0,0,0,64.96,internaltransactions,49.0
210,458,1705,Supplier,Internaltransactions,83,0,0,0,0,0,0,internaltransactions,
211,1705,459,Internaltransactions,Supplier,93,0,0,0,0,0,5.21,internaltransactions,40.0
212,370,1706,Supplier,Internaltransactions,93,0,0,0,0,0,0,internaltransactions,
213,1706,381,Internaltransactions,Supplier,103,0,0,0,0,0,122.57,internaltransactions,14.0
214,531,1707,Supplier,Internaltransactions,103,0,0,0,0,0,0,internaltransactions,
215,1707,397,Internaltransactions,Supplier,128,0,0,0,0,0,8.45,internaltransactions,71.0
216,523,1708,Supplier,Internaltransactions,128,0,0,0,0,0,0,internaltransactions,
217,1708,580,Internaltransactions,Supplier,138,0,0,0,0,0,7.38,internaltransactions,25.0
218,413,1709,Supplier,Internaltransactions,138,0,0,0,0,0,0,internaltransactions,
219,1709,351,Internaltransactions,Supplier,163,0,0,0,0,0,8.58,internaltransactions,52.0
220,503,1710,Supplier,Internaltransactions,163,0,0,0,0,0,0,internaltransactions,
221,1710,533,Internaltransactions,Supplier,193,0,0,0,0,0,2034.12,internaltransactions,77.0
222,525,1711,Supplier,Internaltransactions,193,0,0,0,0,0,0,internaltransactions,
223,1711,394,Internaltransactions,Supplier,203,0,0,0,0,0,30.38,internaltransactions,38.0
224,413,1712,Supplier,Internaltransactions,203,0,0,0,0,0,0,internaltransactions,
225,1712,569,Internaltransactions,Supplier,218,0,0,0,0,0,1141.39,internaltransactions,30.0
226,348,1713,Supplier,Internaltransactions,218,0,0,0,0,0,0,internaltransactions,
227,1713,465,Internaltransactions,Supplier,228,0,0,0,0,0,10.98,internaltransactions,11.0
228,416,1714,Supplier,Internaltransactions,228,0,0,0,0,0,0,internaltransactions,
229,1714,500,Internaltransactions,Supplier,238,0,0,0,0,0,753.73,internaltransactions,41.0
230,375,1715,Supplier,Internaltransactions,238,0,0,0,0,0,0,internaltransactions,
231,1715,379,Internaltransactions,Supplier,263,0,0,0,0,0,781.93,internaltransactions,92.0
232,571,1716,Supplier,Internaltransactions,263,0,0,0,0,0,0,internaltransactions,
233,1716,330,Internaltransactions,Supplier,273,0,0,0,0,0,71.56,internaltransactions,32.0
234,539,1717,Supplier,Internaltransactions,273,0,0,0,0,0,0,internaltransactions,
235,1717,580,Internaltransactions,Supplier,283,0,0,0,0,0,7.38,internaltransactions,25.0
236,308,1718,Supplier,Internaltransactions,283,0,0,0,0,0,0,internaltransactions,
237,1718,503,Internaltransactions,Supplier,308,0,0,0,0,0,5.91,internaltransactions,90.0
238,593,1719,Supplier,Internaltransactions,308,0,0,0,0,0,0,internaltransactions,
239,1719,343,Internaltransactions,Supplier,318,0,0,0,0,0,518.82,internaltransactions,43.0
240,579,1720,Supplier,Internaltransactions,318,0,0,0,0,0,0,internaltransactions,
241,1720,519,Internaltransactions,Supplier,328,0,0,0,0,0,9.8,internaltransactions,13.0
242,519,1721,Supplier,Internaltransactions,328,0,0,0,0,0,0,internaltransactions,
243,1721,523,Internaltransactions,Supplier,358,0,0,0,0,0,5862.41,internaltransactions,79.0
244,531,1722,Supplier,Internaltransactions,358,0,0,0,0,0,0,internaltransactions,
245,1722,533,Internaltransactions,Supplier,388,0,0,0,0,0,2034.12,internaltransactions,77.0
246,343,1723,Supplier,Internaltransactions,388,0,0,0,0,0,0,internaltransactions,
247,1723,350,Internaltransactions,Supplier,413,0,0,0,0,0,67.7,internaltransactions,67.0
248,424,1724,Supplier,Internaltransactions,413,0,0,0,0,0,0,internaltransactions,
249,1724,575,Internaltransactions,Supplier,443,0,0,0,0,0,5954.35,internaltransactions,63.0
250,348,1725,Supplier,Internaltransactions,443,0,0,0,0,0,0,internaltransactions,
251,1725,406,Internaltransactions,Supplier,453,0,0,0,0,0,1.1,internaltransactions,3.0
252,363,1726,Supplier,Internaltransactions,453,0,0,0,0,0,0,internaltransactions,
253,1726,471,Internaltransactions,Supplier,478,0,0,0,0,0,64.48,internaltransactions,83.0
254,564,1727,Supplier,Internaltransactions,478,0,0,0,0,0,0,internaltransactions,
255,1727,321,Internaltransactions,Supplier,508,0,0,0,0,0,936.91,internaltransactions,69.0
256,405,1728,Supplier,Internaltransactions,508,0,0,0,0,0,0,internaltransactions,
257,1728,472,Internaltransactions,Supplier,538,0,0,0,0,0,1698.49,internaltransactions,98.0
