,name,followers
0,Retailer 83982,4.0
1,Retailer 31857,4.0
2,Retailer 62821,3.0
3,Retailer 94027,2.0
4,Retailer 91089,2.0
5,Retailer 90345,2.0
6,Retailer 76059,2.0
7,Retailer 75619,2.0
8,Retailer 67690,2.0
9,Retailer 67361,2.0
10,Retailer 66663,2.0
11,Retailer 64571,2.0
12,Retailer 63898,2.0
13,Retailer 56948,2.0
14,Retailer 49955,2.0
15,Retailer 47196,2.0
16,Retailer 40164,2.0
17,Retailer 31412,2.0
18,Retailer 26336,2.0
19,Retailer 22049,2.0
20,Retailer 21359,2.0
21,Retailer 12318,2.0
22,Retailer 11854,2.0
