,name,followers
0,Supplier 51293,36.0
1,Supplier 24646,29.0
2,Supplier 24451,30.0
3,Supplier 87695,28.0
4,Supplier 52082,26.0
5,Supplier 55441,27.0
6,Supplier 54148,25.0
7,Supplier 13951,22.0
8,Supplier 94512,23.0
9,Supplier 81423,23.0
10,Supplier 76443,23.0
11,Supplier 71574,22.0
12,Supplier 61565,22.0
13,Supplier 87916,23.0
14,Supplier 65468,22.0
15,Supplier 30864,22.0
16,Supplier 13920,23.0
17,Supplier 72315,20.0
18,Supplier 70468,21.0
19,Supplier 68814,21.0
20,Supplier 46070,21.0
21,Supplier 43284,22.0
22,Supplier 18952,21.0
23,Supplier 14125,20.0
24,Supplier 90942,20.0
25,Supplier 26533,20.0
26,Supplier 11283,21.0
27,Supplier 46894,19.0
28,Supplier 40597,18.0
29,Supplier 10161,19.0
30,Supplier 75444,18.0
31,Supplier 29277,18.0
32,Supplier 99762,17.0
33,Supplier 36243,17.0
34,Supplier 74432,15.0
35,Supplier 30692,15.0
36,Supplier 71916,15.0
37,Supplier 21232,15.0
38,Supplier 11790,15.0
39,Supplier 97142,15.0
40,Supplier 70443,13.0
41,Supplier 55787,15.0
42,Supplier 48580,13.0
43,Supplier 13283,14.0
44,Supplier 92698,14.0
45,Supplier 42179,14.0
46,Supplier 35841,14.0
47,Supplier 27057,13.0
48,Supplier 21166,13.0
49,Supplier 19878,14.0
50,Supplier 90236,12.0
51,Supplier 82144,12.0
52,Supplier 57109,13.0
53,Supplier 48467,12.0
54,Supplier 46204,12.0
55,Supplier 43691,13.0
56,Supplier 43160,12.0
57,Supplier 36985,12.0
58,Supplier 36417,12.0
59,Supplier 23640,13.0
60,Supplier 16265,12.0
61,Supplier 10731,13.0
62,Supplier 96293,12.0
63,Supplier 71597,11.0
64,Supplier 46942,12.0
65,Supplier 34967,11.0
66,Supplier 19072,12.0
67,Supplier 15367,11.0
68,Supplier 13362,11.0
69,Supplier 71819,10.0
70,Supplier 42091,11.0
71,Supplier 40898,11.0
72,Supplier 11186,10.0
73,Supplier 78265,10.0
74,Supplier 74318,10.0
75,Supplier 68357,10.0
76,Supplier 61570,10.0
77,Supplier 54921,10.0
78,Supplier 52160,10.0
79,Supplier 18997,10.0
