,name,followers
0,Supplier 55441,17.0
1,Supplier 51293,17.0
2,Supplier 43284,14.0
3,Supplier 42179,14.0
4,Supplier 30864,14.0
5,Supplier 24451,14.0
6,Supplier 13920,14.0
7,Supplier 87916,13.0
8,Supplier 87695,13.0
9,Supplier 81423,13.0
10,Supplier 74432,13.0
11,Supplier 54148,13.0
12,Supplier 21232,13.0
13,Supplier 97142,12.0
14,Supplier 92698,12.0
15,Supplier 71916,12.0
16,Supplier 70468,12.0
17,Supplier 55787,12.0
18,Supplier 19878,12.0
19,Supplier 13951,12.0
20,Supplier 96293,11.0
21,Supplier 90942,11.0
22,Supplier 82144,11.0
23,Supplier 76443,11.0
24,Supplier 75444,11.0
25,Supplier 52082,11.0
26,Supplier 46942,11.0
27,Supplier 46894,11.0
28,Supplier 43691,11.0
29,Supplier 42091,11.0
30,Supplier 40597,11.0
31,Supplier 26533,11.0
32,Supplier 18952,11.0
33,Supplier 11283,11.0
34,Supplier 10161,11.0
35,Supplier 99869,10.0
36,Supplier 99762,10.0
37,Supplier 99559,10.0
38,Supplier 99101,10.0
39,Supplier 99068,10.0
40,Supplier 99057,10.0
41,Supplier 98981,10.0
42,Supplier 97749,10.0
43,Supplier 96448,10.0
44,Supplier 95496,10.0
45,Supplier 94877,10.0
46,Supplier 94574,10.0
47,Supplier 94512,10.0
48,Supplier 93778,10.0
49,Supplier 93661,10.0
50,Supplier 93032,10.0
51,Supplier 92416,10.0
52,Supplier 91409,10.0
53,Supplier 91265,10.0
54,Supplier 90700,10.0
55,Supplier 90456,10.0
56,Supplier 90272,10.0
57,Supplier 90256,10.0
58,Supplier 90059,10.0
59,Supplier 89745,10.0
60,Supplier 88882,10.0
61,Supplier 88025,10.0
62,Supplier 87209,10.0
63,Supplier 86494,10.0
64,Supplier 85924,10.0
65,Supplier 85572,10.0
66,Supplier 85351,10.0
67,Supplier 85116,10.0
68,Supplier 84844,10.0
69,Supplier 83468,10.0
70,Supplier 83444,10.0
71,Supplier 83378,10.0
72,Supplier 82768,10.0
73,Supplier 81678,10.0
74,Supplier 81548,10.0
75,Supplier 81114,10.0
76,Supplier 81099,10.0
77,Supplier 81015,10.0
78,Supplier 80991,10.0
79,Supplier 80737,10.0
80,Supplier 80325,10.0
81,Supplier 79806,10.0
82,Supplier 79479,10.0
83,Supplier 78843,10.0
84,Supplier 77683,10.0
85,Supplier 77347,10.0
86,Supplier 77332,10.0
87,Supplier 77189,10.0
88,Supplier 76088,10.0
89,Supplier 76020,10.0
90,Supplier 75772,10.0
91,Supplier 75613,10.0
92,Supplier 75581,10.0
