From,To,Distance,Duration
Fiji,Luxembourg,0,0
Tadjourah,Micronesia,0,0
Korçë,French Southern Territories,0,0
Manipur,United Kingdom,0,0
South Sudan,Bhutan,0,0
Chile,New Caledonia,0,0
Kairouan,Tunisia,0,0
Nampho,Peru,0,0
Embu,Iceland,0,0
Guinea,Samoa,18458.34,760
Ash Shamāl,Zambia,0,0
Palau,Honduras,0,0
Slovenia,"Luxembourg City, Luxembourg",764.08,21
Chile,Gibraltar,0,0
Croatia,Bosnia and Herzegovina,236.58,6
New Caledonia,Malawi,0,0
Isle of Man,Faroe Islands,0,0
Croatia,Poland,0,0
Ntungamo,Mayotte,0,0
Gambia,Saint Kitts and Nevis,0,0
Isle of Man,Senegal,0,0
Fiji,Egypt,0,0
Georgia,Slovenia,0,0
Cambodia,Madagascar,8589.800000000001,345
Rožaje,Colombia,0,0
Lebanon,Hong Kong,0,0
Cayman Islands,Lithuania,0,0
Kairouan,American Samoa,0,0
Finland,St. Helena,0,0
Mayotte,Slovenia,0,0
Limburg,South Africa,0,0
Dosso,Austria,0,0
Dzhalal-Abadskaya oblast',Malaysia,0,0
Paraguay,Faroe Islands,0,0
Dowa,Sweden,0,0
Al Farwānīyah,United States,0,0
Finland,Reunion,0,0
Cayman Islands,Sweden,0,0
Viangchan,Iraq,0,0
Samoa,United Kingdom,0,0
Cayman Islands,Afghanistan,0,0
Puerto Rico,Oman,0,0
Grandans,Mexico,0,0
Kampong Spueu,Liechtenstein,0,0
Norway,Antigua and Barbuda,0,0
Mauritania,Costa Rica,0,0
Tajikistan,Serbia,4163.9,118
Saint-Martin,Liberia,0,0
Lakes,Faroe Islands,0,0
Tajikistan,Samoa,0,0
French Polynesia,"Congo, The Democratic Republic of the",0,0
"Sabadell, Barcelona, Spain",Faroe Islands,31.19,3
Belize,Norway,0,0
Northern Mariana Islands,Suriname,0,0
Călărași,Ecuador,0,0
Guatemala,Libya,0,0
Georgia,Fiji,0,0
Saint David,Austria,0,0
Denmark,"Greenland, NH, USA",6040.7,250
Dobrich,Jersey,0,0
Saint David,Japan,0,0
Belize,Greece,0,0
Bermuda,Ethiopia,0,0
United States,Cabo Verde,0,0
"Sabadell, Barcelona, Spain",Belarus,5826.92,238
Bermuda,Central African Rep,0,0
"Berkane, Morocco","Cabo Verde, MG, 37880-000, Brazil",8507.08,348
Finland,Gabon,0,0
Equatorial Guinea,Latvia,0,0
Acquaviva,Honduras,0,0
Bermuda,Ghana,0,0
Sierra Leone,Dominica,0,0
Mubārak al Kabīr,United Arab Emirates,0,0
Cook Islands,Oman,0,0
Tanzania,Aruba,0,0
Acquaviva,Oman,0,0
Triesen,Senegal,0,0
Saint Barthélemy,Chile,0,0
Fier,Norway,0,0
Denmark,Norway,0,0
Sumqayıt,Iran,0,0
Samdrup Jongkhar,Serbia,0,0
"Toamasina, Madagascar",Guam,12.36,15
Bādghīs,Hong Kong,0,0
Bosnia And Herzegowina,New Caledonia,0,0
Umm Şalāl,Australia,0,0
Salamat,Mayotte,0,0
Samdrup Jongkhar,Gibraltar,0,0
Umm Şalāl,Faroe Islands,0,0
Belize,Isle of Man,0,0
Argentina,Brunei Darussalam,0,0
Rangárþing eystra,Montserrat,0,0
"Badghisi, Afghanistan",New Caledonia,14509.47,588
Malaysia,Cyprus,0,0
Malaysia,Tokelau,10759.37,435
Bermuda,Barbados,0,0
Georgia,Trinidad and Tobago,0,0
Belize,France,0,0
Sul,Heard Island and McDonald Islands,0,0
Mozambique,Ecuador,0,0
Sumqayıt,Suriname,0,0
Umm Şalāl,Philippines,0,0
Saint Peter,Marlborough,0,0
British Indian Ocean Territory,Congo,0,0
Chad,Cayman Islands,0,0
Dobrich,Bouvet Island,0,0
"Fier, Albania",Greece,1118.46,43
Saint George,Cambodia,0,0
Saint Barthélemy,Suriname,0,0
Dire Dawa,Korçë,0,0
Georgia,Ukraine,0,0
Dominican Republic,Croatia,0,0
Argentina,Oman,0,0
Afghanistan,"Ghanzi, Botswana",12610.03,41
Paraguay,Elbasan,0,0
Botswana,"Ghanzi, Botswana",320.83,9
Dominican Republic,Djelfa,0,0
Nauru,Balkan,0,0
Antigua and Barbuda,Bouvet Island,0,0
Mozambique,Korçë,0,0
Belize,Réunion,0,0
Balıkesir,Sweden,0,0
Afghanistan,Samoa,0,0
Malaysia,Elbasan,0,0
Bouvet Island,Martinique,0,0
Triesen,French Southern Territories,0,0
Berkane,Shariatpur,0,0
Malaysia,Brvenica,0,0
Saint Vincent and the Grenadines,Laghmān,0,0
Argentina,"Congo, The Democratic Republic of the",0,0
Gabon,Tuvalu,0,0
Argentina,Slovenia,13622.07,560
Samoa,Rače-Fram,0,0
Greenland,Mersch,0,0
Paraguay,Ntungamo,0,0
American Samoa,Slovenia,0,0
Bermuda,Kadavu,0,0
Bouvet Island,Minas Gerais,0,0
Marshall Islands,Solomon Islands,0,0
Al Farwānīyah,Mersch,0,0
New Caledonia,Greece,0,0
Sudan,Nampho,0,0
Sudan,Slovenia,74.50999999999999,6
Saint Peter,Saint-Martin,0,0
Argentina,Guadeloupe,0,0
Paraguay,Slovenia,14194.0,582
Palau,Dowa,0,0
Denmark,Munster,0,0
Palau,Mahilioŭskaja voblasć,0,0
Botswana,Korçë,0,0
Argentina,Slovenia,13622.07,560
Sumqayıt,Suriname,0,0
Umm Şalāl,Philippines,0,0
Saint Peter,Marlborough,0,0
British Indian Ocean Territory,Congo,0,0
Chad,Cayman Islands,0,0
Dobrich,Bouvet Island,0,0
"Fier, Albania",Greece,1118.46,43
Saint George,Cambodia,0,0
Saint Barthélemy,Suriname,0,0
Dire Dawa,Korçë,0,0
Georgia,Ukraine,0,0
Dominican Republic,Croatia,0,0
Argentina,Oman,0,0
Afghanistan,"Ghanzi, Botswana",12610.03,41
Paraguay,Elbasan,0,0
Botswana,"Ghanzi, Botswana",320.83,9
Dominican Republic,Djelfa,0,0
Nauru,Balkan,0,0
Antigua and Barbuda,Bouvet Island,0,0
Mozambique,Korçë,0,0
Belize,Réunion,0,0
Balıkesir,Sweden,0,0
Afghanistan,Samoa,0,0
Malaysia,Elbasan,0,0
Bouvet Island,Martinique,0,0
Triesen,French Southern Territories,0,0
Berkane,Shariatpur,0,0
Malaysia,Brvenica,0,0
Saint Vincent and the Grenadines,Laghmān,0,0
Argentina,"Congo, The Democratic Republic of the",0,0
Gabon,Tuvalu,0,0
Argentina,Slovenia,13622.07,560
Samoa,Rače-Fram,0,0
Greenland,Mersch,0,0
Paraguay,Ntungamo,0,0
American Samoa,Slovenia,0,0
Bermuda,Kadavu,0,0
Bouvet Island,Minas Gerais,0,0
Marshall Islands,Solomon Islands,0,0
Al Farwānīyah,Mersch,0,0
New Caledonia,Greece,0,0
Sudan,Nampho,0,0
Sudan,Slovenia,74.50999999999999,6
Saint Peter,Saint-Martin,0,0
Argentina,Guadeloupe,0,0
Paraguay,Slovenia,14194.0,582
Palau,Dowa,0,0
Denmark,Munster,0,0
Palau,Mahilioŭskaja voblasć,0,0
Botswana,Korçë,0,0
Argentina,Slovenia,13622.07,560
British Indian Ocean Territory,Fier,0,0
Tochigi,Saint Barthélemy,0,0
United Arab Emirates,Northern Mariana Islands,0,0
Malaysia,Niue,0,0
"Sabadell, Barcelona, Spain",Slovenia,2492.9500000000003,100
Saint George,Congo,0,0
Kayes,Denmark,0,0
Marshall Islands,Borkou,0,0
Neuquén,American Samoa,0,0
Brașov,Cook Islands,0,0
"Greenland, NH, USA",Slovenia,49.23,10
Argentina,Malaysia,0,0
Solomon Islands,Al Farwānīyah,0,0
Sumqayıt,Brașov,0,0
Guadeloupe,Mato Grosso,0,0
Berkane,Acquaviva,0,0
Palau,Kayes,0,0
Umm Şalāl,Antigua and Barbuda,0,0
Dobrich,Niue,0,0
Sumqayıt,Denmark,0,0
Argentina,British Indian Ocean Territory,0,0
Laos,Slovenia,8243.02,235
Niue,Paraguay,0,0
Georgia,Argentina,0,0
Saint David,American Samoa,0,0
Malaysia,Neuquén,0,0
Argentina,Slovenia,13622.07,560
Tirol,Equatorial Guinea,0,0
Botswana,United Arab Emirates,0,0
Argentina,Slovenia,13622.07,560
Argentina,Slovenia,13622.07,560
Paraguay,Slovenia,14194.0,582
